"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"3.11.50727";;;;"1"
"Active Directory Authentication Library for SQL Server (x86)";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"13.0.1601.5";;;;"1"
"Azure AD Authentication Connected Service";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"AzureTools.Notifications";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"2.7.30611.1601";;;;"1"
"Blend for Visual Studio SDK for .NET 4.5";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"3.0.40218.0";;;;"1"
"Dotfuscator and Analytics Community Edition 5.22.0";"LASPSHOST02.FNBM.CORP";"PreEmptive Solutions";"20180302";"5.22.0.3788";;;;"1"
"Google Update Helper";"LASPSHOST02.FNBM.CORP";"Google Inc.";"20180517";"1.3.33.17";;;;"1"
"Java Auto Updater";"LASPSHOST02.FNBM.CORP";"Oracle Corporation";"20180723";"2.8.171.11";;;;"1"
"Microsoft .NET Core 5.0 SDK";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"1.0.23902";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"4.0.30319";;;;"1"
"Microsoft .NET Framework 4.5.1 RC Multi-Targeting Pack for Windows Store Apps";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"4.5.21005";;;;"1"
"Microsoft .NET Framework 4.5.1 RC Multi-Targeting Pack for Windows Store Apps (ENU)";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"4.5.21005";;;;"1"
"Microsoft .NET Framework 4.6.1 Developer Pack";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";;"4.6.1055";;;;"1"
"Microsoft Agents for Visual Studio 2015 Preview";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23102";;;;"1"
"Microsoft Agents for Visual Studio 2015 Preview - ENU";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23102";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"14.0.1000.397";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"14.0.1000.397";;;;"1"
"Microsoft ASP.NET and Web Tools 2015.1 (Beta8) - Visual Studio 2015";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.1.11107.0";;;;"1"
"Microsoft ASP.NET MVC 4 - Visual Studio 2015 - ENU";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"4.1.41102.0";;;;"1"
"Microsoft ASP.NET Web Frameworks and Tools - Visual Studio 2015 - ENU";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"5.2.40314.0";;;;"1"
"Microsoft ASP.NET Web Pages 2 - Visual Studio 2015 - ENU";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"4.1.41102.0";;;;"1"
"Microsoft Azure Mobile Services Connected Service";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"Microsoft Azure Mobile Services SDK V2.0";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"2.0.20908.0";;;;"1"
"Microsoft Azure Mobile Services Tools for Visual Studio - v1.4";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"1.4.30611.1601";;;;"1"
"Microsoft Azure Shared Components for Visual Studio 2015 - v1.8";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"1.8.40521.1";;;;"1"
"Microsoft Azure Storage Connected Service";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"Microsoft Blend for Visual Studio 2015";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"Microsoft Blend for Visual Studio 2015 - ENU";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"Microsoft Expression Blend SDK for .NET 4";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"2.0.20525.0";;;;"1"
"Microsoft Help Viewer 2.2";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"2.2.25420";;;;"1"
"Microsoft NuGet - Visual Studio 2015";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"3.4.4.1321";;;;"1"
"Microsoft Portable Library Multi-Targeting Pack";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25431.01";;;;"1"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - enu";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420.01";;;;"1"
"Microsoft SQL Server 2017";"LASPSHOST02.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2017 (64-bit)";"LASPSHOST02.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2017 RsFx Driver";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"14.0.1000.169";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.60610";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.60610";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.60610";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24215";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.24215";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24215";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.24215";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.24215";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.24215";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.24215";;;;"1"
"Microsoft Visual Studio 2015 Devenv";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Devenv Resources";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Diagnostic Tools - amd64";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Performance Collection Tools";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Performance Collection Tools - ENU";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Preparation";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Preparation";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Preparation";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Profiling Tools";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25123";;;;"1"
"Microsoft Visual Studio 2015 SDK - ENU";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180619";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Test Tools Language Pack - ENU";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - amd64";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25431";;;;"1"
"Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - amd64";"LASPSHOST02.FNBM.CORP";"Microsoft Corporation";"20180302";"14.0.25420";;;;"1"
