"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP Insight Management WBEM Providers";"LASRFAX01.CREDITONEAPP.BIZ";"Hewlett-Packard Development Company, L.P.";"20180523";"10.30.0.0";;;;"1"
"Microsoft .NET Framework 4.5.2";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180622";"4.5.51209";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24215";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20171208";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24215";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20171208";"14.0.24215";;;;"1"
"RightFax Product Suite";"LASRFAX01.CREDITONEAPP.BIZ";"Captaris, Inc.";"20110729";"9.40.0.0";;;;"1"
"SolarWinds Client Components";"LASRFAX01.CREDITONEAPP.BIZ";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"Visual C++ 2012 RTM Runtime Library DLLs (x64/release)";"LASRFAX01.CREDITONEAPP.BIZ";"Microsoft";"20180523";"11.0.50727.1";;;;"1"
