"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppFabric 1.1 for Windows Server";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160318";"1.1.2106.32";;;;"1"
"Microsoft Access Services English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft Access Services Server";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft Document Lifecycle Components";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Document Lifecycle Components English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Education";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft Education English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft Excel Mobile Viewer Components";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Excel Services Components";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Excel Services English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft InfoPath Form Services English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft InfoPath Forms Services";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft Office PowerPoint Services";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Office PowerPoint Services English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Search Server 2013 Core";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Search Server 2013 English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Server Proof (Arabic) 2013";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Server Proof (English) 2013";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Server Proof (French) 2013";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Server Proof (German) 2013";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Server Proof (Russian) 2013";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Server Proof (Spanish) 2013";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Shared Components";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Shared Coms English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft SharePoint Foundation 2013 1033 Lang Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft SharePoint Foundation 2013 1033 SQL Express";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft SharePoint Foundation 2013 Core";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft SharePoint Multilingual Solutions";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft SharePoint Multilingual Solutions English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft SharePoint Portal";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft SharePoint Portal English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft SharePoint Server 2013 ";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft Slide Library";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft Slide Library English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
"Microsoft SQL Server 2012 (64-bit)";"LASSP01.CREDITONEAPP.BIZ";;;;;;;"1"
"Microsoft User Profiles";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Visio Services English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Visio Services Web Front End Components";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160522";"15.0.4569.1506";;;;"1"
"Microsoft Web Analytics English Language Pack";"LASSP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160407";"15.0.4569.1506";;;;"1"
