"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppFabric 1.1 for Windows Server";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170705";"1.1.2106.32";;;;"1"
"Microsoft Server Proof (Arabic) 2016";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (English) 2016";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (French) 2016";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (German) 2016";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (Russian) 2016";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (Spanish) 2016";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"16.0.4351.1000";;;;"1"
"Microsoft SharePoint Foundation 2016 1033 Lang Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170831";"16.0.4351.1000";;;;"1"
"Microsoft SharePoint Foundation 2016 Core";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170829";"16.0.4351.1000";;;;"1"
"Microsoft SharePoint Server 2016";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"16.0.4351.1000";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20171102";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20171102";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.10.25008";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170512";"14.10.25008";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.10.25008";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170512";"14.10.25008";;;;"1"
"SolarWinds Client Components";"LASSP01TST.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"WCF Data Services 5.6.0 CHS Language Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 CHT Language Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 DEU Language Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 ESN Language Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 FRA Language Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 ITA Language Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 JPN Language Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 KOR Language Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 Runtime";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 RUS Language Pack";"LASSP01TST.FNBM.CORP";"Microsoft Corporation";"20170327";"5.6.61587.0";;;;"1"
