"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppFabric 1.1 for Windows Server";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"1.1.2106.32";;;;"1"
"Microsoft Server Proof (Arabic) 2016";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170707";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (English) 2016";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170707";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (French) 2016";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170707";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (German) 2016";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170707";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (Russian) 2016";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170707";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (Spanish) 2016";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170707";"16.0.4351.1000";;;;"1"
"Microsoft SharePoint Foundation 2016 1033 Lang Pack";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170831";"16.0.4351.1000";;;;"1"
"Microsoft SharePoint Foundation 2016 Core";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170829";"16.0.4351.1000";;;;"1"
"Microsoft SharePoint Server 2016";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170707";"16.0.4351.1000";;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASSPENT02.FNBM.CORP";;;;;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20171108";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20171108";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"SolarWinds Client Components";"LASSPENT02.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2016 Batch Parser";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"13.0.1601.5";;;;"1"
"SQL Server 2016 Connection Info";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"13.0.14500.10";;;;"1"
"SQL Server 2016 RS_SharePoint_SharedService";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"13.0.1601.5";;;;"1"
"SQL Server 2016 Shared Management Objects";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"13.0.14500.10";;;;"1"
"SQL Server 2016 Shared Management Objects Extensions";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"13.0.1601.5";;;;"1"
"SQL Server 2016 SQL Diagnostics";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"13.0.1601.5";;;;"1"
"SQL Server 2016 XEvent";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170710";"13.0.1601.5";;;;"1"
"WCF Data Services 5.6.0 CHS Language Pack";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 CHT Language Pack";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 DEU Language Pack";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 ESN Language Pack";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 FRA Language Pack";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"5.6.61587.0";;;;"1"
"WCF Data Services 5.6.0 ITA Language Pack";"LASSPENT02.FNBM.CORP";"Microsoft Corporation";"20170706";"5.6.61587.0";;;;"1"
