"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppFabric 1.1 for Windows Server";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170103";"1.1.2106.32";;;;"1"
"Microsoft Access Services English Language Pack";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"15.0.4569.1506";;;;"1"
"Microsoft Access Services Server";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"15.0.4569.1506";;;;"1"
"Microsoft Application Error Reporting";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20161227";"12.0.6012.5000";;;;"1"
"Microsoft Application Error Reporting";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"12.0.6015.5000";;;;"1"
"Microsoft ASP.NET Web Pages 2 Runtime";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170111";"2.0.20716.0";;;;"1"
"Microsoft Document Lifecycle Components";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"15.0.4569.1506";;;;"1"
"Microsoft Document Lifecycle Components English Language Pack";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"15.0.4569.1506";;;;"1"
"Microsoft Education";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"15.0.4569.1506";;;;"1"
"Microsoft Education English Language Pack";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"15.0.4569.1506";;;;"1"
"Microsoft Excel Mobile Viewer Components";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170511";"15.0.4569.1506";;;;"1"
"Microsoft Excel Services Components";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170511";"15.0.4569.1506";;;;"1"
"Microsoft Excel Services English Language Pack";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"15.0.4569.1506";;;;"1"
"Microsoft Help Viewer 1.1";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20161227";"1.1.40219";;;;"1"
"Microsoft InfoPath Form Services English Language Pack";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"15.0.4569.1506";;;;"1"
"Microsoft InfoPath Forms Services";"LASSPTST01.FNBM.CORP";"Microsoft Corporation";"20170104";"15.0.4569.1506";;;;"1"
