"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP Insight Management WBEM Providers";"LASSQL02N02.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20111007";"2.8.0.0";;;;"1"
"Microsoft .NET Framework 4.5.2";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20180120";"4.5.51209";;;;"1"
"Microsoft Application Error Reporting";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20110626";"12.0.6015.5000";;;;"1"
"Microsoft Report Viewer Redistributable 2008 (KB971119)";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20110626";"9.0.30731";;;;"1"
"Microsoft SharePoint Foundation 2010";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20110804";"14.0.6029.1000";;;;"1"
"Microsoft SharePoint Foundation 2010 1033 Lang Pack";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20110804";"14.0.6029.1000";;;;"1"
"Microsoft SharePoint Foundation 2010 Core";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20110804";"14.0.6029.1000";;;;"1"
"Microsoft SharePoint Foundation 2010 Service Pack 1 (SP1)";"LASSQL02N02.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Foundation 2010";"1"
"Microsoft SharePoint Foundation 2010 Service Pack 1 (SP1)";"LASSQL02N02.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Foundation 2010";"1"
"Microsoft SQL Server 2008 R2 (64-bit)";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";;;;;;"1"
"Microsoft SQL Server 2008 R2 RsFx Driver";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170730";"10.53.6000.34";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170223";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170223";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"SolarWinds Client Components";"LASSQL02N02.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2008 R2 Reporting Services";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20110706";"10.50.1600.1";;;;"1"
"SQL Server 2008 R2 SP2 Analysis Services";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170730";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Analysis Services";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170730";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 BI Development Studio";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170730";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 BI Development Studio";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170730";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Client Tools";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170730";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Client Tools";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170730";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Common Files";"LASSQL02N02.FNBM.CORP";"Microsoft Corporation";"20170730";"10.53.6000.34";;;;"1"
