"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP Insight Management WBEM Providers";"LASSQL03.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20150608";"9.4.0.0";;;;"1"
"HP ProLiant Health Monitor Service (X64)";"LASSQL03.FNBM.CORP";"Hewlett-Packard Company";"20150608";"3.9.0.0";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"LASSQL03.FNBM.CORP";"Hewlett-Packard Company";"20150608";"3.0.0.0";;;;"1"
"HP ProLiant iLO CHIF Driver (X64)";"LASSQL03.FNBM.CORP";"Hewlett-Packard Company";"20150608";"3.9.0.0";;;;"1"
"HP ProLiant iLO Core Driver (X64)";"LASSQL03.FNBM.CORP";"Hewlett-Packard Company";"20150608";"3.9.0.0";;;;"1"
"Microsoft Application Error Reporting";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20150706";"12.0.6012.5000";;;;"1"
"Microsoft Help Viewer 1.1";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20150706";"1.1.40219";;;;"1"
"Microsoft SQL Server 2012 (64-bit)";"LASSQL03.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2012 RsFx Driver";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20180531";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20180531";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20170223";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20170223";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20180520";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20180520";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"SolarWinds Client Components";"LASSQL03.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2012 Analysis Services";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Analysis Services";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 BI Development Studio";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 BI Development Studio";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Client Tools";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Client Tools";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Common Files";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Common Files";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Data quality client";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Data quality client";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Data quality service";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160317";"11.0.2100.60";;;;"1"
"SQL Server 2012 Data quality service";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Database Engine Services";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Database Engine Services";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Database Engine Services";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Database Engine Services";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Database Engine Shared";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Database Engine Shared";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Distributed Replay";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Distributed Replay";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Distributed Replay";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160317";"11.0.2100.60";;;;"1"
"SQL Server 2012 Distributed Replay";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160317";"11.0.2100.60";;;;"1"
"SQL Server 2012 Documentation Components";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160317";"11.0.2100.60";;;;"1"
"SQL Server 2012 Documentation Components";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160317";"11.0.2100.60";;;;"1"
"SQL Server 2012 Documentation Components";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160317";"11.0.2100.60";;;;"1"
"SQL Server 2012 Full text search";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20161110";"11.0.2100.60";;;;"1"
"SQL Server 2012 Full text search";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Integration Services";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Integration Services";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 Management Studio";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 Management Studio";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"SQL Server 2012 RS_SharePoint_SharedService";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160420";"11.3.6020.0";;;;"1"
"SQL Server 2012 SQL Data Quality Common";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"Sql Server Customer Experience Improvement Program";"LASSQL03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;"1"
"VCS Agents";"LASSQL03.FNBM.CORP";"Symantec Corporation";"20160123";"6.0.20000";;;;"1"
"Veritas DMP DSM Solution 6.0.2";"LASSQL03.FNBM.CORP";"Symantec Corporation";"20160123";"6.0.20000.76";;;;"1"
"Veritas Storage Foundation 6.0.2 for Windows";"LASSQL03.FNBM.CORP";"Symantec Corporation";"20160123";"6.0.20000.76";;;;"1"
"VRTSPerl";"LASSQL03.FNBM.CORP";"Symantec";"20160123";"6.0.20000";;;;"1"
"VRTSsfmh";"LASSQL03.FNBM.CORP";"Symantec Corp";"20160123";"5.00.0196";;;;"1"
"vrtsvcs";"LASSQL03.FNBM.CORP";"Symantec";"20160123";"6.0.20000";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"LASSQL03.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"LASSQL03.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
