"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"3.11.50727";;;;"1"
"Java Auto Updater";"LASSQL2016TST.FNBM.CORP";"Oracle Corporation";"20170525";"2.8.131.11";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"4.0.30319";;;;"1"
"Microsoft AS OLE DB Provider for SQL Server 2017 CTP2.1";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.600.111";;;;"1"
"Microsoft AS OLE DB Provider for SQL Server 2017 CTP2.1";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.600.111";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23107";;;;"1"
"Microsoft Help Viewer 1.1";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"1.1.40219";;;;"1"
"Microsoft Help Viewer 2.2";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"2.2.23107";;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASSQL2016TST.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 RsFx Driver";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"13.0.1601.5";;;;"1"
"Microsoft SQL Server vNext CTP2.0";"LASSQL2016TST.FNBM.CORP";;;;;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23506";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23506";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23506";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23506";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23506";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23506";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23506";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23506";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASSQL2016TST.FNBM.CORP";"Microsoft Corporation";"20170525";"14.0.23107";;;;"1"
