"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"3.11.50727";;;;"1"
"AppFabric 1.1 for Windows Server";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170713";"1.1.2106.32";;;;"1"
"iLO 3/4 Core Driver (X64)";"LASSQLCLS04.FNBM.CORP";"Hewlett Packard Enterprise";"20170421";"3.30.0.0";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"4.0.30319";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Help Viewer 1.1";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170626";"1.1.40219";;;;"1"
"Microsoft Help Viewer 2.2";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"2.2.23107";;;;"1"
"Microsoft OData Source for SQL Server 2016";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"13.1.4413.3";;;;"1"
"Microsoft OData Source for SQL Server 2016 (x64)";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"13.1.4413.3";;;;"1"
"Microsoft Server Proof (Arabic) 2016";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170713";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (English) 2016";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170713";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (French) 2016";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170713";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (German) 2016";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170713";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (Russian) 2016";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170713";"16.0.4351.1000";;;;"1"
"Microsoft Server Proof (Spanish) 2016";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170713";"16.0.4351.1000";;;;"1"
"Microsoft SharePoint Foundation 2016 1033 Lang Pack";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170831";"16.0.4351.1000";;;;"1"
"Microsoft SharePoint Foundation 2016 Core";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170829";"16.0.4351.1000";;;;"1"
"Microsoft SharePoint Server 2016";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170713";"16.0.4351.1000";;;;"1"
"Microsoft SQL Server 2016";"LASSQLCLS04.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASSQLCLS04.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 RsFx Driver";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170623";"13.1.4001.0";;;;"1"
"Microsoft SQL Server 2016 Setup (English)";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"13.0.1601.5";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170711";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170711";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170616";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170616";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer - ENU";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107";;;;"1"
"Microsoft Visual Studio Services Hub";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"1.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Finalizer";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support - ENU Language Pack";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x64 Hosting Support";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x86 Hosting Support";"LASSQLCLS04.FNBM.CORP";"Microsoft Corporation";"20170622";"14.0.23829";;;;"1"
