"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"3.11.50727";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"4.0.30319";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.1000.397";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.1000.397";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.23107";;;;"1"
"Microsoft Help Viewer 1.1";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180129";"1.1.40219";;;;"1"
"Microsoft Help Viewer 2.2";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"2.2.23107";;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASSQLONTST02.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 RsFx Driver";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180124";"13.1.4001.0";;;;"1"
"Microsoft SQL Server 2017";"LASSQLONTST02.FNBM.CORP";;;;;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23506";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180129";"14.0.23506";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23506";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180129";"14.0.23506";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23506";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180129";"14.0.23506";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23506";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180129";"14.0.23506";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"LASSQLONTST02.FNBM.CORP";"Microsoft Corporation";"20180109";"14.0.23107";;;;"1"
