"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Configuration Manager Client";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20111215";"4.00.6487.2000";;;;"1"
"HP Insight Management WBEM Providers";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20111006";"2.8.0.0";;;;"1"
"HP ProLiant iLO 3 Core Driver (X64)";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Company";"20101213";"3.2.0.0";;;;"1"
"HP ProLiant iLO 3 Monitor Service (X64)";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Company";"20111006";"3.3.1.0";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"LASSQLTST03.FNBM.CORP";"Hewlett-Packard Company";"20101213";"3.0.0.0";;;;"1"
"iLO 3/4 Channel Interface Driver (X64)";"LASSQLTST03.FNBM.CORP";"Hewlett Packard Enterprise";"20180511";"3.30.0.0";;;;"1"
"Microsoft .NET Framework 4.5.2";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20180712";"4.5.51209";;;;"1"
"Microsoft Application Error Reporting";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20110211";"12.0.6015.5000";;;;"1"
"Microsoft Application Error Reporting";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"12.0.6012.5000";;;;"1"
"Microsoft Help Viewer 1.1";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"1.1.40219";;;;"1"
"Microsoft Report Viewer Redistributable 2008 (KB971119)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20110211";"9.0.30731";;;;"1"
"Microsoft SQL Server 2008 R2 (64-bit)";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";;;;;;"1"
"Microsoft SQL Server 2008 R2 RsFx Driver";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20150915";"10.53.6000.34";;;;"1"
"Microsoft SQL Server 2012 (64-bit)";"LASSQLTST03.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2012 RsFx Driver";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20171006";"11.0.2100.60";;;;"1"
"Microsoft SQL Server 2014 (64-bit)";"LASSQLTST03.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2014 RsFx Driver";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20151222";"12.1.4100.1";;;;"1"
"SolarWinds Client Components";"LASSQLTST03.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2008 R2 Reporting Services";"LASSQLTST03.FNBM.CORP";"Microsoft Corporation";"20130110";"10.50.1600.1";;;;"1"
