"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"3.11.50727";;;;"1"
"Blend for Visual Studio 2012";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"5.0.30709.0";;;;"1"
"Blend for Visual Studio 2012 ENU resources";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"5.0.30709.0";;;;"1"
"Blend for Visual Studio Add-in for Adobe FXG Import";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"1.0.40218.0";;;;"1"
"Blend for Visual Studio SDK for .NET 4.5";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"3.0.40218.0";;;;"1"
"Blend for Visual Studio SDK for Silverlight 5";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"3.0.40218.0";;;;"1"
"Dotfuscator and Analytics Community Edition";"LASSTGDEV01.FNBM.CORP";"PreEmptive Solutions";"20150619";"5.5.4521.29298";;;;"1"
"Google Update Helper";"LASSTGDEV01.FNBM.CORP";"Google Inc.";"20180517";"1.3.33.17";;;;"1"
"JavaScript Tooling";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.60315";;;;"1"
"JavaScript Tooling";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.60315";;;;"1"
"Kits Configuration Installer";"LASSTGDEV01.FNBM.CORP";"Microsoft";"20150616";"8.100.25984";;;;"1"
"LocalESPC";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"8.59.25584";;;;"1"
"LocalESPCui for en-us";"LASSTGDEV01.FNBM.CORP";"Microsoft";"20150619";"8.59.25584";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"4.0.30319";;;;"1"
"Microsoft ASP.NET and Web Tools 2012.3 - Visual Studio 2012";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"1.4.41009.0";;;;"1"
"Microsoft ASP.NET MVC 3 - Visual Studio 2012 Tools Update";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"3.0.30710.0";;;;"1"
"Microsoft ASP.NET MVC 4 - Visual Studio 2012 Tools - ENU";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"4.1.20219.0";;;;"1"
"Microsoft ASP.NET MVC 4 Runtime";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"4.0.20710.0";;;;"1"
"Microsoft ASP.NET Web Pages - Visual Studio 2012 Tools";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"1.0.20710.0";;;;"1"
"Microsoft ASP.NET Web Pages 2 - Visual Studio 2012 Tools - ENU";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"4.1.20219.0";;;;"1"
"Microsoft ASP.NET Web Pages 2 Runtime";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"2.0.20715.0";;;;"1"
"Microsoft Expression Blend SDK for .NET 4";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"2.0.20525.0";;;;"1"
"Microsoft Expression Blend SDK for Silverlight 4";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"2.0.20525.0";;;;"1"
"Microsoft Help Viewer 2.0";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"2.0.50727";;;;"1"
"Microsoft LightSwitch for Visual Studio 2012 Core";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.50727";;;;"1"
"Microsoft LightSwitch for Visual Studio 2012 CoreRes - ENU";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.50727";;;;"1"
"Microsoft LightSwitch for Visual Studio 2012 v3.0 Core";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61011";;;;"1"
"Microsoft LightSwitch for Visual Studio 2012 v3.0 CoreRes - ENU";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61011";;;;"1"
"Microsoft NuGet - Visual Studio 2012";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"2.6.40627.9000";;;;"1"
"Microsoft Portable Library Multi-Targeting Pack";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.60418.17931";;;;"1"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - enu";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.50709.17929";;;;"1"
"Microsoft Report Viewer Add-On for Visual Studio 2012";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.1.2802.16";;;;"1"
"Microsoft Visual C++ 2012  x64 Designtime - 11.0.50727";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2012 32bit Compilers - ENU Resources";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 Compilers";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20151118";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 Compilers - ENU Resources";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 Core Libraries";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.51106";;;;"1"
"Microsoft Visual C++ 2012 Core Libraries";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.51106";;;;"1"
"Microsoft Visual C++ 2012 Extended Libraries";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 Microsoft Foundation Class Libraries";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Debug Runtime - 11.0.60610";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Debug Runtime - 11.0.60610";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86-x64 Compilers";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20151118";"11.0.61030";;;;"1"
"Microsoft Visual Studio 2010 Office Developer Tools (x64)";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150717";"10.0.50706";;;;"1"
"Microsoft Visual Studio 2012 Devenv";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20151118";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 Devenv Resources";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 IntelliTrace Core amd64";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61030";;;;"1"
"Microsoft Visual Studio 2012 IntelliTrace Core x86";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.61030";;;;"1"
"Microsoft Visual Studio 2012 Performance Collection Tools";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20151118";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 Performance Collection Tools - ENU";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 Preparation";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 SharePoint Developer Tools";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 SharePoint Developer Tools ENU Language Pack";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 Shell (Minimum)";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20151118";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 Shell (Minimum) Interop Assemblies";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 Shell (Minimum) Resources";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20151118";"11.0.50727";;;;"1"
"Microsoft Visual Studio 2012 Tools for SQL Server Compact 4.0 SP1 ENU";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150619";"4.0.8876.1";;;;"1"
"Microsoft Visual Studio Premium 2012";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20151118";"11.0.50727";;;;"1"
"Microsoft Visual Studio Premium 2012 - ENU";"LASSTGDEV01.FNBM.CORP";"Microsoft Corporation";"20150629";"11.0.50727";;;;"1"
