"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"3.11.50727";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.0.30319";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.397";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.397";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Help Viewer 1.1";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"1.1.40219";;;;"1"
"Microsoft Help Viewer 2.2";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"2.2.23107";;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASSWPATCH01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 RsFx Driver";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"Microsoft SQL Server 2017";"LASSWPATCH01.FNBM.CORP";;;;;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180214";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180214";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180214";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180214";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180214";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180214";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23026";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23026";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23026";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer - ENU";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Microsoft Visual Studio Services Hub";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"1.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Finalizer";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support - ENU Language Pack";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x64 Hosting Support";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x86 Hosting Support";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23829";;;;"1"
"Roslyn Language Services - x86";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Roslyn Language Services - x86";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"SolarWinds Client Components";"LASSWPATCH01.FNBM.CORP";"SolarWinds, Inc.";"20180308";"2.1.5.6002";;;;"1"
"SQL Server 2016 Analysis Services";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 Analysis Services";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 Batch Parser";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 Common Files";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 Connection Info";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.14500.10";;;;"1"
"SQL Server 2016 Connection Info";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.14500.10";;;;"1"
"SQL Server 2016 Database Engine Services";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 Database Engine Services";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 Database Engine Shared";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 Database Engine Shared";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 DMF";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.1601.5";;;;"1"
"SQL Server 2016 DMF";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.1601.5";;;;"1"
"SQL Server 2016 Reporting Services";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 Reporting Services";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server 2016 Shared Management Objects";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.14500.10";;;;"1"
"SQL Server 2016 Shared Management Objects";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.14500.10";;;;"1"
"SQL Server 2016 Shared Management Objects Extensions";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.1601.5";;;;"1"
"SQL Server 2016 Shared Management Objects Extensions";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.1601.5";;;;"1"
"SQL Server 2016 SQL Diagnostics";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.1601.5";;;;"1"
"SQL Server 2016 XEvent";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.1601.5";;;;"1"
"SQL Server 2016 XEvent";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.0.1601.5";;;;"1"
"SQL Server 2017 Batch Parser";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Client Tools Extensions";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Client Tools Extensions";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Common Files";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Common Files";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Connection Info";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Connection Info";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 DMF";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 DMF";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Integration Services Scale Out Management Portal";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Integration Services Scale Out Management Portal";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Management Studio Extensions";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.3006.16";;;;"1"
"SQL Server 2017 Management Studio Extensions";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.3006.16";;;;"1"
"SQL Server 2017 Shared Management Objects";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Shared Management Objects";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Shared Management Objects Extensions";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 Shared Management Objects Extensions";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"SQL Server 2017 SQL Diagnostics";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.1000.169";;;;"1"
"Sql Server Customer Experience Improvement Program";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"13.1.4001.0";;;;"1"
"SQL Server Management Studio";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.17213.0";;;;"1"
"SQL Server Management Studio";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.17213.0";;;;"1"
"SQL Server Management Studio for Analysis Services";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.17213.0";;;;"1"
"SQL Server Management Studio for Reporting Services";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.17213.0";;;;"1"
"SSMS Post Install Tasks";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.17213.0";;;;"1"
"Visual Studio 2015 Prerequisites";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
"Visual Studio 2015 Prerequisites - ENU Language Pack";"LASSWPATCH01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.0.23107";;;;"1"
