"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP ProLiant Health Monitor Service (X64)";"LASTAB01.FNBM.CORP";"Hewlett-Packard Company";"20170418";"3.20.0.0";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"LASTAB01.FNBM.CORP";"Hewlett-Packard Company";"20170418";"3.0.0.0";;;;"1"
"HP ProLiant iLO CHIF Driver (X64)";"LASTAB01.FNBM.CORP";"Hewlett-Packard Company";"20170418";"3.10.0.0";;;;"1"
"HP ProLiant iLO Core Driver (X64)";"LASTAB01.FNBM.CORP";"Hewlett-Packard Company";"20170418";"3.9.0.0";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASTAB01.FNBM.CORP";"Microsoft Corporation";"20180718";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASTAB01.FNBM.CORP";"Microsoft Corporation";"20180718";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASTAB01.FNBM.CORP";"Microsoft Corporation";"20180718";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASTAB01.FNBM.CORP";"Microsoft Corporation";"20180718";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24215";"LASTAB01.FNBM.CORP";"Microsoft Corporation";"20180718";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24215";"LASTAB01.FNBM.CORP";"Microsoft Corporation";"20180718";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.24215";"LASTAB01.FNBM.CORP";"Microsoft Corporation";"20180718";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.24215";"LASTAB01.FNBM.CORP";"Microsoft Corporation";"20180718";"14.0.24215";;;;"1"
"SolarWinds Client Components";"LASTAB01.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"Veritas DMP DSM Solution 7.2";"LASTAB01.FNBM.CORP";"Veritas Technologies LLC";"20170502";"7.2.00000.180";;;;"1"
"Veritas InfoScale Operations Manager (Host Component)";"LASTAB01.FNBM.CORP";"Veritas Technologies LLC";"20180711";"7.3.400.1";;;;"1"
"Volume Manager for Windows";"LASTAB01.FNBM.CORP";"Veritas Technologies LLC";"20170502";"7.2.00000.180";;;;"1"
"VRTSPerl";"LASTAB01.FNBM.CORP";"Veritas Technologies LLC";"20170502";"7.2.00000";;;;"1"
"vrtsvcs";"LASTAB01.FNBM.CORP";"Veritas Technologies LLC";"20170502";"7.2.00000";;;;"1"
