"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"3.11.50727";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"4.0.30319";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.1000.397";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.1000.397";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.23107";;;;"1"
"Microsoft Help Viewer 2.2";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"2.2.23107";;;;"1"
"Microsoft SQL Server 2017";"LASTABDEV02.FNBM.CORP";;;;;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180720";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180720";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180720";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180720";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24215";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180720";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180726";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24215";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180720";"14.0.24215";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.24215";"LASTABDEV02.FNBM.CORP";"Microsoft Corporation";"20180720";"14.0.24215";;;;"1"
