"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft ASP.NET MVC 4 Runtime";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20170508";"4.0.40804.0";;;;"1"
"Microsoft ASP.NET Web Pages 2 Runtime";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20170508";"2.0.20716.0";;;;"1"
"Microsoft Team Foundation Server 2017 Update 1";"LASTFSAPP01.FNBM.CORP";"Microsoft";"20170627";"15.112.26307";;;;"1"
"Microsoft Team Foundation Server 2017 Update 1 Language Pack - ENU";"LASTFSAPP01.FNBM.CORP";"Microsoft";"20170627";"15.112.26307";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20171121";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20171121";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23816";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20170508";"14.0.23816";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23816";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20170508";"14.0.23816";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual Studio Team Foundation Server 2012 Object Model";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20170508";"11.0.61030";;;;"1"
"Microsoft Visual Studio Team Foundation Server 2012 Object Model Language Pack - ENU";"LASTFSAPP01.FNBM.CORP";"Microsoft Corporation";"20170508";"11.0.61030";;;;"1"
"SolarWinds Client Components";"LASTFSAPP01.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"LASTFSAPP01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"LASTFSAPP01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
