"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft Application Error Reporting";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150528";"12.0.6012.5000";;;;"1"
"Microsoft SQL Server 2008 R2";"LASTI02.FNBM.CORP";"Microsoft Corporation";;;;;;"1"
"Microsoft SQL Server 2008 R2 RsFx Driver";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150919";"10.52.4042.0";;;;"1"
"SolarWinds Client Components";"LASTI02.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2008 R2 SP2 Common Files";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150919";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Common Files";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150528";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150528";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150919";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150724";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150919";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150919";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150528";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150919";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150708";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150919";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150709";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Shared";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150919";"10.52.4000.0";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Shared";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150528";"10.52.4000.0";;;;"1"
"Sql Server Customer Experience Improvement Program";"LASTI02.FNBM.CORP";"Microsoft Corporation";"20150528";"10.50.1600.1";;;;"1"
