"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft .NET Framework 4.5.2";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20180712";"4.5.51209";;;;"1"
"Microsoft Office Office 64-bit Components 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20160915";"14.0.7015.1000";;;;"1"
"Microsoft Office Proof (English) 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20150910";"14.0.7015.1000";;;;"1"
"Microsoft Office Proof (French) 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20150716";"14.0.7015.1000";;;;"1"
"Microsoft Office Proof (Spanish) 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20150716";"14.0.7015.1000";;;;"1"
"Microsoft Office Proofing (English) 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20150716";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared 64-bit MUI (English) 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20150716";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20150716";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared MUI (English) 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20171207";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared Setup Metadata MUI (English) 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20150716";"14.0.7015.1000";;;;"1"
"Microsoft Office SharePoint Designer 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20171207";"14.0.7015.1000";;;;"1"
"Microsoft Office SharePoint Designer MUI (English) 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20170914";"14.0.7015.1000";;;;"1"
"Microsoft SharePoint Foundation 2010";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20110801";"14.0.6029.1000";;;;"1"
"Microsoft SharePoint Foundation 2010 1033 Lang Pack";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20110801";"14.0.6029.1000";;;;"1"
"Microsoft SharePoint Foundation 2010 Core";"LASTSTINTRA04.FNBM.CORP";"Microsoft Corporation";"20110801";"14.0.6029.1000";;;;"1"
"Microsoft SharePoint Foundation 2010 Service Pack 1 (SP1)";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Foundation 2010";"1"
"Microsoft SharePoint Foundation 2010 Service Pack 1 (SP1)";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Foundation 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"LASTSTINTRA04.FNBM.CORP";"Microsoft";;;"1";;"Microsoft SharePoint Designer 2010";"1"
"SolarWinds Client Components";"LASTSTINTRA04.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
