"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"cis-upgrade-runner";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.22349";;;;"1"
"MIT Kerberos for Windows (64-bit) 4.0.0 Sat 11/05/2016  9:31:57.57";"LASVCEN-TELCOM.FNBM.CORP";"Massachusetts Institute of Technology";"20170731";"4.0.0";;;;"1"
"SolarWinds Client Components";"LASVCEN-TELCOM.FNBM.CORP";"SolarWinds, Inc.";"20180421";"2.1.5.6002";;;;"1"
"VCSServiceManager";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.22349";;;;"1"
"VMware afd Service";"LASVCEN-TELCOM.FNBM.CORP";"VMware";"20170731";"6.0.0.3162";;;;"1"
"VMware Certificate Service";"LASVCEN-TELCOM.FNBM.CORP";"VMware";"20170731";"6.0.0.2710";;;;"1"
"VMware Directory Service";"LASVCEN-TELCOM.FNBM.CORP";"VMware";"20170731";"6.0.0.5722";;;;"1"
"VMware Identity Platform SDK";"LASVCEN-TELCOM.FNBM.CORP";"VMware";"20170731";"6.0.0.1432";;;;"1"
"VMware Identity Services";"LASVCEN-TELCOM.FNBM.CORP";"VMware";"20170731";"6.0.0.8095";;;;"1"
"VMware Platform Services Controller Client";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc";"20170731";"6.3.0";;;;"1"
"VMware Postgres";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"9.3.14.1";;;;"1"
"VMware Service Control Agent";"LASVCEN-TELCOM.FNBM.CORP";"VMware";"20170731";"6.0.0.5112512";;;;"1"
"VMware Syslog Collector";"LASVCEN-TELCOM.FNBM.CORP";"VMware";"20170731";"6.0.0.708";;;;"1"
"VMware vCenter Server";"LASVCEN-TELCOM.FNBM.CORP";"VMware";"20170731";"6.0.0.22349";;;;"1"
"VMware Virtual SAN Health Check Plug-in";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.2.0.5112539";;;;"1"
"VMware-autodeploy";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.22349";;;;"1"
"VMware-cis-license";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.19732";;;;"1"
"vmware-cm";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.19732";;;;"1"
"VMware-commonjars";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.606";;;;"1"
"vmware-cyrus-sasl";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"1.3.0.0";;;;"1"
"vmware-eam";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-invsvc";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.19732";;;;"1"
"VMware-jmemtool";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.19732";;;;"1"
"VMware-jre";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.2634";;;;"1"
"VMware-mbcs";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.19732";;;;"1"
"VMware-netdump";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.22349";;;;"1"
"VMware-OpenSSL";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-perfcharts";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-python";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.22349";;;;"1"
"VMware-rhttpproxy";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-ruby";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.562";;;;"1"
"VMware-rvc";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"1.8.0.562";;;;"1"
"VMware-sps";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-tcServer";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.2478";;;;"1"
"VMware-vapi";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.2474";;;;"1"
"VMware-vc-support";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-vdcs";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.7173";;;;"1"
"vmware-virgo";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-visl-integration";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-vpxd";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-vpxd-agents-eesx";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-vpxd-client";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-vpx-workflow";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-vsanmgmt";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.2.0.6325";;;;"1"
"vmware-vsm";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-vws";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.9090";;;;"1"
"VMware-WebClient";"LASVCEN-TELCOM.FNBM.CORP";"VMware, Inc.";"20170731";"6.0.0.22349";;;;"1"
