"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft .NET Framework 4.5.2";"MKT-WEB.FNBM.CORP";"Microsoft Corporation";"20180712";"4.5.51209";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727";"MKT-WEB.FNBM.CORP";"Microsoft Corporation";"20131204";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727";"MKT-WEB.FNBM.CORP";"Microsoft Corporation";"20131204";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"MKT-WEB.FNBM.CORP";"Microsoft Corporation";"20170407";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"MKT-WEB.FNBM.CORP";"Microsoft Corporation";"20170407";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"MKT-WEB.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"MKT-WEB.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"SolarWinds Client Components";"MKT-WEB.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"Visual C++ 8.0 SP1 Runtime DLLs (x64/release)";"MKT-WEB.FNBM.CORP";"Microsoft";"20110606";"8.0.50727.762";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"MKT-WEB.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"MKT-WEB.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
