"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP Insight Management WBEM Providers";"PHXAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Development Company, L.P.";"20101122";"2.7.0.0";;;;"1"
"HP ProLiant iLO 3 CHIF Driver (X64)";"PHXAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20101013";"3.1.0.0";;;;"1"
"HP ProLiant iLO 3 Core Driver (X64)";"PHXAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20101013";"3.1.0.0";;;;"1"
"HP ProLiant iLO 3 Monitor Service (X64)";"PHXAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20101013";"3.1.0.0";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"PHXAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20101013";"3.0.0.0";;;;"1"
"Microsoft .NET Framework 4.5.2";"PHXAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180719";"4.5.51209";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"PHXAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"PHXAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"PHXAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170222";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"PHXAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170222";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"PHXAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"PHXAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"PHXAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"PHXAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"SolarWinds Client Components";"PHXAUTH01.CREDITONEAPP.BIZ";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"PHXAUTH01.CREDITONEAPP.BIZ";"Commvault";"20180604";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"PHXAUTH01.CREDITONEAPP.BIZ";"Commvault";"20180604";"11.110.463.0";;;;"1"
