"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20180302";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20180302";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20180302";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20180302";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20170417";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20170417";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20180604";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20180604";"14.11.25325";;;;"1"
"Microsoft Visual J# 2.0 Redistributable Package - SE (x64)";"PHXDC04.PHX.FNBM.CORP";"Microsoft Corporation";"20180302";"2.0.50728";;;;"1"
"SolarWinds Client Components";"PHXDC04.PHX.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"PHXDC04.PHX.FNBM.CORP";"Commvault";"20180604";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"PHXDC04.PHX.FNBM.CORP";"Commvault";"20180604";"11.110.463.0";;;;"1"
