"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"3.11.50727";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"4.0.30319";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Help Viewer 2.2";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"2.2.23107";;;;"1"
"Microsoft OData Source for SQL Server 2016";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.1.4413.3";;;;"1"
"Microsoft OData Source for SQL Server 2016 (x64)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.1.4413.3";;;;"1"
"Microsoft SQL Server 2016";"PHXDSMAPP01.PHX.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"PHXDSMAPP01.PHX.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 RsFx Driver";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.1.4001.0";;;;"1"
"Microsoft SQL Server 2016 Setup (English)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.0.1601.5";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23026";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23026";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23026";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer - ENU";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107";;;;"1"
"Microsoft Visual Studio Services Hub";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"1.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Finalizer";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support - ENU Language Pack";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"14.0.23107.00";;;;"1"
