"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HPE ProLiant Agentless Management Service";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170825";"10.70.0.0";;;;"1"
"iLO 3/4 Channel Interface Driver (X64)";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise";"20170825";"3.30.0.0";;;;"1"
"iLO 3/4 Core Driver (X64)";"PHXFS01.PHX.FNBM.CORP";"Hewlett Packard Enterprise";"20170825";"3.30.0.0";;;;"1"
"MergeModule2012";"PHXFS01.PHX.FNBM.CORP";"Microsoft";"20170825";"1.0.0";;;;"1"
"Microsoft Office Access MUI (English) 2010";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"14.0.7015.1000";;;;"1"
"Microsoft Office Access Setup Metadata MUI (English) 2010";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"14.0.7015.1000";;;;"1"
"Microsoft Office Excel MUI (English) 2010";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"14.0.7015.1000";;;;"1"
"Microsoft Office Groove MUI (English) 2010";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"14.0.7015.1000";;;;"1"
"Microsoft Office InfoPath MUI (English) 2010";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"14.0.7015.1000";;;;"1"
"Microsoft Office Office 32-bit Components 2010";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20171020";"14.0.7015.1000";;;;"1"
"Microsoft Office OneNote MUI (English) 2010";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160218";"14.0.7015.1000";;;;"1"
"Microsoft Office Outlook MUI (English) 2010";"PHXFS01.PHX.FNBM.CORP";"Microsoft Corporation";"20170921";"14.0.7015.1000";;;;"1"
