"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"3.11.50727";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"4.0.30319";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.800.90";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.800.90";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Help Viewer 2.2";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"2.2.23107";;;;"1"
"Microsoft SQL Server 2017 RC1";"PHXINFRA01.PHX.FNBM.CORP";;;;;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23026";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23026";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23026";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer - ENU";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Microsoft Visual Studio Services Hub";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"1.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Finalizer";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support - ENU Language Pack";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x64 Hosting Support";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x86 Hosting Support";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23829";;;;"1"
"Roslyn Language Services - x86";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"Roslyn Language Services - x86";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.23107";;;;"1"
"SolarWinds Client Components";"PHXINFRA01.PHX.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2017 RC1 Batch Parser";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.800.90";;;;"1"
"SQL Server 2017 RC1 Client Tools Extensions";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.800.90";;;;"1"
"SQL Server 2017 RC1 Client Tools Extensions";"PHXINFRA01.PHX.FNBM.CORP";"Microsoft Corporation";"20170831";"14.0.800.90";;;;"1"
