"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"cis-upgrade-runner";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.18915";;;;"1"
"Google Update Helper";"PHXVCS01.PHX.FNBM.CORP";"Google Inc.";"20180516";"1.3.33.17";;;;"1"
"Microsoft Visual J# 2.0 Redistributable Package - SE (x64)";"PHXVCS01.PHX.FNBM.CORP";"Microsoft Corporation";"20160721";"2.0.50728";;;;"1"
"MIT Kerberos for Windows (64-bit) 4.0.0 Mon 09/22/2014 16:38:30.74";"PHXVCS01.PHX.FNBM.CORP";"Massachusetts Institute of Technology";"20160720";"4.0.0";;;;"1"
"SolarWinds Client Components";"PHXVCS01.PHX.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"VCSServiceManager";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.18915";;;;"1"
"VMware afd Service";"PHXVCS01.PHX.FNBM.CORP";"VMware";"20160720";"6.0.0.2760";;;;"1"
"VMware Certificate Service";"PHXVCS01.PHX.FNBM.CORP";"VMware";"20160720";"6.0.0.2521";;;;"1"
"VMware Directory Service";"PHXVCS01.PHX.FNBM.CORP";"VMware";"20160720";"6.0.0.4983";;;;"1"
"VMware Identity Platform SDK";"PHXVCS01.PHX.FNBM.CORP";"VMware";"20160720";"6.0.0.1221";;;;"1"
"VMware Identity Services";"PHXVCS01.PHX.FNBM.CORP";"VMware";"20160720";"6.0.0.6698";;;;"1"
"VMware Platform Services Controller Client";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc";"20160720";"6.2.0";;;;"1"
"VMware Service Control Agent";"PHXVCS01.PHX.FNBM.CORP";"VMware";"20160720";"6.0.0.3545908";;;;"1"
"VMware Syslog Collector";"PHXVCS01.PHX.FNBM.CORP";"VMware";"20160720";"6.0.0.586";;;;"1"
"VMware vCenter Server";"PHXVCS01.PHX.FNBM.CORP";"VMware";"20160720";"6.0.0.18915";;;;"1"
"VMware Virtual SAN Health Check Plug-in";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.2.0.3547795";;;;"1"
"VMware-autodeploy";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.18915";;;;"1"
"VMware-cis-license";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.16422";;;;"1"
"vmware-cm";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.16422";;;;"1"
"VMware-commonjars";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.525";;;;"1"
"vmware-cyrus-sasl";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"1.0.0.0";;;;"1"
"vmware-eam";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-invsvc";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.16422";;;;"1"
"VMware-jmemtool";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.16422";;;;"1"
"VMware-jre";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.2489";;;;"1"
"VMware-mbcs";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.16422";;;;"1"
"VMware-netdump";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.18915";;;;"1"
"VMware-OpenSSL";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-perfcharts";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-python";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.18915";;;;"1"
"VMware-rhttpproxy";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-ruby";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.530";;;;"1"
"VMware-rvc";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"1.8.0.530";;;;"1"
"VMware-sps";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-tcServer";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.2096";;;;"1"
"VMware-vapi";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.2291";;;;"1"
"VMware-vc-support";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-vdcs";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6711";;;;"1"
"vmware-virgo";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-visl-integration";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-vpxd";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-vpxd-agents-eesx";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-vpxd-client";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-vpx-workflow";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-vsanmgmt";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.2.0.1418";;;;"1"
"vmware-vsm";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-vws";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.6118";;;;"1"
"VMware-WebClient";"PHXVCS01.PHX.FNBM.CORP";"VMware, Inc.";"20160720";"6.0.0.18915";;;;"1"
