"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"DCTEST01MT.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"IBM WebSphere MQ (Installation1)";"DCTEST01MT.FNBM.CORP";"IBM";"20150406";"7.5.0.1";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"DCTEST01MT.FNBM.CORP";;;;;;;
"Microsoft Silverlight";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150928";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2012";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.3000.0";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150410";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150406";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150406";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150425";"10.0.40219";;;;
"Microsoft Web Deploy 3.5";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150928";"3.1237.1764";;;;
"Microsoft Web Platform Installer 5.0";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20150928";"5.0.50430.0";;;;
"Microsoft WSE 3.0";"DCTEST01MT.FNBM.CORP";"Microsoft Corporation";"20151001";"3.0.5305.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"DCTEST01MT.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"DCTEST01MT.FNBM.CORP";"Symantec Corporation";"20180120";"14.0.3876.1100";;;;"0"
"VMware Tools";"DCTEST01MT.FNBM.CORP";"VMware, Inc.";"20180120";"10.1.7.5541682";;;;
