"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppDynamics Controller 4.3.4.1";"LASAPPDTST01.FNBM.CORP";"AppDynamics";;"4.3.4.1";;;;
"AppDynamics End User Monitoring";"LASAPPDTST01.FNBM.CORP";"AppDynamics";;"4.4.0.5";;;;
"AppDynamics Platform Admin 4.3.4.3";"LASAPPDTST01.FNBM.CORP";"AppDynamics";;"4.3.4.3";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASAPPDTST01.FNBM.CORP";;;;;;;
"Java 8 Update 151";"LASAPPDTST01.FNBM.CORP";"Oracle Corporation";"20171215";"8.0.1510.12";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASAPPDTST01.FNBM.CORP";"Microsoft Corporation";"20170803";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASAPPDTST01.FNBM.CORP";"Microsoft Corporation";"20170803";"9.0.30729.6161";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASAPPDTST01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASAPPDTST01.FNBM.CORP";"Symantec Corporation";"20180301";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASAPPDTST01.FNBM.CORP";"VMware, Inc.";"20170803";"10.1.0.4449150";;;;
