"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.20";"LASARGENT04.FNBM.CORP";;;;;;;
"BlueZone 6.1";"LASARGENT04.FNBM.CORP";"Rocket Software, Inc.";"20150708";"6.1.8.2280";;;;
"BMC Track-It! 11.3 Agent";"LASARGENT04.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASARGENT04.FNBM.CORP";"Commvault";;"11.80.70.0";;;;
"Commvault ContentStore";"LASARGENT04.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"Core FTP LE (x64)";"LASARGENT04.FNBM.CORP";;;;;;;
"Datawatch Monarch 13";"LASARGENT04.FNBM.CORP";"Datawatch Corporation";"20160924";"13.4.1.6367";;;;
"Diskeeper 15";"LASARGENT04.FNBM.CORP";"Condusiv Technologies";"20150408";"18.0.1104.64";;;;
"DJ Integration Engine Enterprise";"LASARGENT04.FNBM.CORP";;;;;;;
"DJ Integration Studio - Data Junction Enterprise";"LASARGENT04.FNBM.CORP";;;;;;;
"DJ Integration Studio - SDKs ";"LASARGENT04.FNBM.CORP";;;;;;;
"DocuAnalyzer 6.01";"LASARGENT04.FNBM.CORP";"Mobius";;"6.01";;;;
"DocumentDirect 2.3";"LASARGENT04.FNBM.CORP";;;;;;;
"GNU Privacy Guard";"LASARGENT04.FNBM.CORP";"Free Software Foundation";;"1.4.10";;;;
"Headless Server Registry Update";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";"20130226";"1.0.0.0";;;;
"HP Array Configuration Utility";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20130226";"9.30.15.0";;;;
"HP Array Configuration Utility CLI";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20130226";"9.30.15.0";;;;
"HP Insight Diagnostics  Online Edition for Windows";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20130226";"9.3.0";;;;
"HP Insight Management Agents";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";"20131004";"9.40.0.0";;;;
"HP Insight Management WBEM Providers for Windows Server x64 Editions";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";;"9.4.0.0";;;;
"HP Lights-Out Online Configuration Utility";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20130226";"4.0.1.0";;;;
"HP ProLiant Agentless Management Service";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";;"9.25.0.0";;;;
"HP ProLiant iLO 3/4 Channel Interface Driver";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";;"3.7.0.0";;;;
"HP ProLiant iLO 3/4 Management Controller Package";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";;"3.7.0.0";;;;
"HP ProLiant Integrated Management Log Viewer";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";"20130226";"6.3.0.0";;;;
"HP ProLiant PCI-express Power Management Update for Windows";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";"20130226";"1.3.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20131004";"6.34.0.64";;;;
"HP System Management Homepage";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140710";"7.3.3";;;;
"HP Version Control Agent";"LASARGENT04.FNBM.CORP";"Hewlett Packard Development Company, L.P.";"20140710";"7.3.3.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASARGENT04.FNBM.CORP";;;;;;;
"Java(TM) 6 Update 45 (64-bit)";"LASARGENT04.FNBM.CORP";"Oracle";"20131210";"6.0.450";;;;
"LAME v3.99.3 (for Windows)";"LASARGENT04.FNBM.CORP";;"20131021";;;;;
"Matrox Graphics Software (remove only)";"LASARGENT04.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4.5.2";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Access database engine 2010 (English)";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20171021";"14.0.7015.1000";;;;
"Microsoft Baseline Security Analyzer 2.1";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131008";"2.1.0000";;;;
"Microsoft Office 2003 Web Components";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20170520";"12.0.6213.1000";;;;
"Microsoft Office Professional Plus 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";;"14.0.7015.1000";;;;""
"Microsoft Office XP Web Components";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131021";"10.0.6765.0";;;;
"Microsoft Report Viewer 2012 Runtime";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131016";"11.1.3010.3";;;;
"Microsoft Report Viewer Redistributable 2008 SP1";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Silverlight";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 (64-bit)";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2008 R2 Books Online";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"10.50.1600.1";;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131004";"10.50.1617.0";;;;
"Microsoft SQL Server 2008 R2 Policies";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"10.50.1600.1";;;;
"Microsoft SQL Server 2008 R2 Setup (English)";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131004";"10.50.1617.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"10.1.2731.0";;;;
"Microsoft SQL Server 2012 Express LocalDB ";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20160924";"11.1.3000.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 ENU";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"3.5.8080.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"3.5.8080.0";;;;
"Microsoft SQL Server System CLR Types (x64)";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"10.50.1600.1";;;;
"Microsoft Sync Framework Runtime v1.0 (x64)";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"1.0.1215.0";;;;
"Microsoft Sync Services for ADO.NET v2.0 (x64)";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"2.0.1215.0";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131016";"11.0.2100.60";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131004";"8.0.59193";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131016";"8.0.56336";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20130226";"8.0.59192";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"8.0.61000";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20150402";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20130226";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20170429";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.50727";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";;"11.0.50727.1";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
