"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.20";"LASARGENTTST03.FNBM.CORP";;;;;;;
"7-Zip 9.20 (x64 edition)";"LASARGENTTST03.FNBM.CORP";"Igor Pavlov";"20131213";"9.20.00.0";;;;
"Active Directory Authentication Library for SQL Server";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"14.0.800.90";;;;
"ATI Display Driver";"LASARGENTTST03.FNBM.CORP";;;"8.24.50.5-090623a-083726C-HP";;;;
"BlueZone 6.1";"LASARGENTTST03.FNBM.CORP";"Rocket Software, Inc.";"20150617";"6.1.8.2280";;;;
"BMC Track-It! 11.3 Agent";"LASARGENTTST03.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASARGENTTST03.FNBM.CORP";"Commvault";;"11.80.120.0";;;;
"Core FTP LE (x64)";"LASARGENTTST03.FNBM.CORP";;;;;;;
"Datawatch Monarch 13";"LASARGENTTST03.FNBM.CORP";"Datawatch Corporation";"20160922";"13.4.1.6367";;;;
"DJ Integration Engine Enterprise";"LASARGENTTST03.FNBM.CORP";;;;;;;
"DJ Integration Studio - Data Junction Enterprise";"LASARGENTTST03.FNBM.CORP";;;;;;;
"DJ Integration Studio - SDKs ";"LASARGENTTST03.FNBM.CORP";;;;;;;
"DocuAnalyzer 6.01";"LASARGENTTST03.FNBM.CORP";"Mobius";;"6.01";;;;
"DocumentDirect 2.3";"LASARGENTTST03.FNBM.CORP";;;;;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASARGENTTST03.FNBM.CORP";;;;;;;
"Java(TM) 6 Update 45 (64-bit)";"LASARGENTTST03.FNBM.CORP";"Oracle";"20140115";"6.0.450";;;;
"LAME v3.99.3 (for Windows)";"LASARGENTTST03.FNBM.CORP";;"20131213";;;;;
"Microsoft .NET Compact Framework 3.5";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131213";"3.5.7283";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"4.5.51209";;;;
"Microsoft .NET Framework 4.6.1";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"4.6.01055";;;;
"Microsoft Access database engine 2010 (English)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171207";"14.0.7015.1000";;;;
"Microsoft Baseline Security Analyzer 2.1";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131206";"2.1.0000";;;;
"Microsoft Device Emulator (64 bit) version 3.0 - ENU";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131213";"9.0.21022";;;;
"Microsoft Document Explorer 2008";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Help Viewer 2.2";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"14.0.800.90";;;;
"Microsoft Office 2003 Web Components";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20170520";"12.0.6213.1000";;;;
"Microsoft Office Professional Plus 2010";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"14.0.7015.1000";;;;""
"Microsoft Report Viewer Redistributable 2008 (KB971118)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Silverlight";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 (64-bit)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131217";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 R2 Setup (English)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131217";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131217";"10.1.2731.0";;;;
"Microsoft SQL Server 2012 Express LocalDB ";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20160922";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"11.3.6540.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"12.0.2000.8";;;;
"Microsoft SQL Server 2017 Policies RC1";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"14.0.800.90";;;;
"Microsoft SQL Server 2017 RC1";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2017 T-SQL Language Service RC1";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"14.0.17177.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 ENU";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131217";"3.5.8080.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131217";"3.5.8080.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"14.0.3757.2";;;;
"Microsoft SQL Server Management Studio - 17.2";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"14.0.17177.0";;;;
"Microsoft SQL Server Management Studio - 17.2";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"14.0.17177.0";;;;
"Microsoft System CLR Types for SQL Server 2014";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"12.0.2402.11";;;;
"Microsoft System CLR Types for SQL Server 2017 RC1";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20171116";"14.0.800.90";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20140128";"8.0.59193";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131216";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131213";"8.0.56336";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131216";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131205";"8.0.59192";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20140703";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131205";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20131206";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20180624";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";"20170429";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23026";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"14.0.23026.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"Microsoft Visual Studio 2008 Professional Edition - ENU";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Visual Studio 2008 Remote Debugger - ENU";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASARGENTTST03.FNBM.CORP";"Microsoft Corporation";;"14.0.23107.10";;;;
