"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASAS03.FNBM.CORP";"Microsoft Corporation";"20180523";"13.0.1601.5";;;;
"BMC Track-It! 11.3 Agent";"LASAS03.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2016";"LASAS03.FNBM.CORP";"Microsoft Corporation";"20180523";"13.1.4001.0";;;;
"Commvault ContentStore";"LASAS03.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"HP Lights-Out Online Configuration Utility";"LASAS03.FNBM.CORP";"Hewlett Packard Enterprise";"20180522";"5.2.0.0";;;;
"HPE ProLiant Agentless Management Service";"LASAS03.FNBM.CORP";"Hewlett Packard Enterprise Development LP";;"10.75.0.0";;;;
"HPE System Management Homepage";"LASAS03.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20180522";"7.6.3";;;;
"Integrated Management Log Viewer";"LASAS03.FNBM.CORP";"Hewlett Packard Enterprise";"20180522";"7.8.0.0";;;;
"Integrated Smart Update Tools for Windows";"LASAS03.FNBM.CORP";"Hewlett Packard Enterprise";"20180522";"2.2.0.0";;;;
"Matrox Graphics Software (remove only)";"LASAS03.FNBM.CORP";"Matrox Graphics Inc.";;"4.3.3.3";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASAS03.FNBM.CORP";"Microsoft Corporation";"20180523";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASAS03.FNBM.CORP";"Microsoft Corporation";"20180523";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASAS03.FNBM.CORP";"Microsoft Corporation";"20180523";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASAS03.FNBM.CORP";"Microsoft Corporation";"20180523";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASAS03.FNBM.CORP";"Microsoft Corporation";"20180523";"4.5.51209";;;;
