"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.38";"LASAWCON.FNBM.CORP";"Igor Pavlov";"20180102";"9.38.00.0";;;;
"AirWatch";"LASAWCON.FNBM.CORP";"AirWatch";"20180102";"9.2.2.0";;;;
"Google Chrome";"LASAWCON.FNBM.CORP";"Google Inc.";"20171220";"68.0.3440.84";;;;
"IIS URL Rewrite Module 2";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20180102";"7.2.1952";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASAWCON.FNBM.CORP";;;;;;;
"Microsoft Application Request Routing 3.0";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20180102";"3.0.1952";;;;
"Microsoft Command Line Utilities 11 for SQL Server";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20180102";"11.0.2270.0";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20180102";"12.2.5543.11";;;;
"Microsoft SQL Server 2012 Native Client ";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20180102";"11.3.6538.0";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20180102";"13.0.1601.5";;;;
"Microsoft SQL Server Data-Tier Application Framework (x64)";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20180102";"13.0.3370.2";;;;
"Microsoft System CLR Types for SQL Server 2016";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20180102";"13.0.1601.5";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20170523";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASAWCON.FNBM.CORP";"Microsoft Corporation";"20170523";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASAWCON.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"LASAWCON.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASAWCON.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASAWCON.FNBM.CORP";"Symantec Corporation";"20180301";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASAWCON.FNBM.CORP";"VMware, Inc.";"20171116";"10.1.7.5541682";;;;
