"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppDynamics .NET Agent";"LASAXSDEVAPI01.FNBM.CORP";"AppDynamics";"20171121";"4.3.0";;;;
"BMC Track-It! 11.3 Agent";"LASAXSDEVAPI01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Debug Diagnostics 2 Update 2";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170208";"2.2.0.13";;;;
"Google Chrome";"LASAXSDEVAPI01.FNBM.CORP";"Google Inc.";"20170119";"67.0.3396.99";;;;
"IIS Advanced Logging 1.0";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180622";"1.0.0625.10";;;;
"IIS URL Rewrite Module 2";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180622";"7.2.1980";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASAXSDEVAPI01.FNBM.CORP";;;;;;;
"Microsoft Application Request Routing 2.5";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180622";"2.5.1130";;;;
"Microsoft Azure PowerShell - January 2017";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170119";"3.4.0";;;;
"Microsoft External Cache";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170712";"1.1.1949";;;;
"Microsoft Silverlight";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180507";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180507";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180507";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180507";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180507";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180507";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180507";"11.1.3000.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170225";"8.0.61001";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170111";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170111";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170111";"9.0.30729.6161";;;;
"Microsoft Web Deploy 3.5";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20180622";"3.1237.1764";;;;
"Microsoft Web Farm Framework";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170712";"1.1.1292";;;;
"Microsoft Web Platform Installer 5.0";"LASAXSDEVAPI01.FNBM.CORP";"Microsoft Corporation";"20170119";"5.0.50430.0";;;;
"Security Analytics SFTP Agent";"LASAXSDEVAPI01.FNBM.CORP";"RSA Security Inc";"20170209";"4.1.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASAXSDEVAPI01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"VMware Tools";"LASAXSDEVAPI01.FNBM.CORP";"VMware, Inc.";"20180120";"10.1.7.5541682";;;;
