"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;
"Browser for SQL Server 2016";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASBMCSQLTST01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"4.5.51209";;;;
"Microsoft Help Viewer 2.2";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"10.3.5500.0";;;;
