"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Apache Tomcat 7.0 Tomcat7 (remove only)";"LASBMCTST01.FNBM.CORP";"The Apache Software Foundation";;"7.0.84";;;;
"BMC Track-It! 11.3 Agent";"LASBMCTST01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"FootPrints 12.1.09";"LASBMCTST01.FNBM.CORP";"BMC Software, Inc.";"Mar 02 2018 10:23:22.023 AM -0800";"12.1.09";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASBMCTST01.FNBM.CORP";;;;;;;
"Java 8 Update 162 (64-bit)";"LASBMCTST01.FNBM.CORP";"Oracle Corporation";"20180130";"8.0.1620.12";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASBMCTST01.FNBM.CORP";"Microsoft Corporation";"20180130";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASBMCTST01.FNBM.CORP";"Microsoft Corporation";"20180130";"9.0.30729.6161";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASBMCTST01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASBMCTST01.FNBM.CORP";"Symantec Corporation";"20180302";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASBMCTST01.FNBM.CORP";"VMware, Inc.";"20180131";"10.1.7.5541682";;;;
