"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASBP01.FNBM.CORP";"Microsoft Corporation";"20180224";"14.0.800.90";;;;
"BMC Track-It! 11.3 Agent";"LASBP01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2016";"LASBP01.FNBM.CORP";"Microsoft Corporation";"20180511";"13.1.4001.0";;;;
"Commvault ContentStore";"LASBP01.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"HP Lights-Out Online Configuration Utility";"LASBP01.FNBM.CORP";"Hewlett Packard Enterprise";"20180221";"5.1.0.0";;;;
"HPE Insight Management Agents";"LASBP01.FNBM.CORP";"Hewlett Packard Enterprise Company";"20180221";"10.70.0.0";;;;
"iLO 3/4 Management Controller Driver Package";"LASBP01.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASBP01.FNBM.CORP";;;;;;;
"Insight Diagnostics";"LASBP01.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20180221";"10.60.2116";;;;
"Integrated Management Log Viewer";"LASBP01.FNBM.CORP";"Hewlett Packard Enterprise";"20180221";"7.8.0.0";;;;
"Konesans File Watcher Task 2016";"LASBP01.FNBM.CORP";"Konesans Ltd";"20180306";"5.0.3.22";;;;
"Matrox Graphics Software (remove only)";"LASBP01.FNBM.CORP";"Matrox Graphics Inc.";;"4.3.3.3";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASBP01.FNBM.CORP";"Microsoft Corporation";"20180405";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASBP01.FNBM.CORP";"Microsoft Corporation";"20180405";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASBP01.FNBM.CORP";"Microsoft Corporation";"20180405";"4.5.51209";;;;
"Microsoft Access database engine 2016 (English)";"LASBP01.FNBM.CORP";"Microsoft Corporation";"20180423";"16.0.4519.1000";;;;
