"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASCA01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASCA01.FNBM.CORP";;;;;;;
"Microsoft Baseline Security Analyzer 2.2";"LASCA01.FNBM.CORP";"Microsoft Corporation";"20140207";"2.2.2170";;;;
"Microsoft Silverlight";"LASCA01.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"LASCA01.FNBM.CORP";"Microsoft Corporation";"20140207";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCA01.FNBM.CORP";"Microsoft Corporation";"20140207";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASCA01.FNBM.CORP";"Microsoft Corporation";"20140207";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCA01.FNBM.CORP";"Microsoft Corporation";"20140207";"9.0.30729.6161";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCA01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCA01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCA01.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
