"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppDynamics .NET Agent";"LASCAPS02.FNBM.CORP";"AppDynamics";"20180711";"4.4.4.0";;;;
"BMC Track-It! 11.3 Agent";"LASCAPS02.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Microsoft Access database engine 2010 (English)";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20171021";"14.0.7015.1000";;;;
"Microsoft Silverlight";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20151112";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20151112";"11.1.3000.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20150410";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20150425";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Web Deploy 3.5";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20151112";"3.1237.1764";;;;
"Microsoft Web Platform Installer 5.0";"LASCAPS02.FNBM.CORP";"Microsoft Corporation";"20151112";"5.0.50430.0";;;;
"Netwitness SFTP Agent";"LASCAPS02.FNBM.CORP";"RSA Security Inc";"20180324";"4.1.0";;;;
"SAP Crystal Reports runtime engine for .NET Framework (64-bit)";"LASCAPS02.FNBM.CORP";"SAP";"20150430";"13.0.13.1597";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCAPS02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCAPS02.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCAPS02.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
