"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASCERT01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASCERT01.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASCERT01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4.5.2";"LASCERT01.FNBM.CORP";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Silverlight";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20170511";"5.1.50906.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20120830";"8.0.59193";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20120820";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20110503";"8.0.59192";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20120820";"8.0.61000";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20120913";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20110503";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20120820";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20131112";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20131123";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASCERT01.FNBM.CORP";"Microsoft Corporation";"20170511";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASCERT01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASCERT01.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCERT01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCERT01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCERT01.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
