"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASCHATTST01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASCHATTST01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 3.5 SP1";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft .NET Framework 4.5.2";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Silverlight";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";"20110414";"10.50.1600.1";;;;
"Microsoft SQL Server Native Client";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";"20100510";"9.00.1399.06";;;;
"Microsoft Visual C++ 2005 ATL Update kb973923 - x86 8.0.50727.4053";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";"20100715";"8.0.50727.4053";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";"20110616";"8.0.61001";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";"20130404";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";"20120910";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";"20120913";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";"20170413";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"LASCHATTST01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Notepad++";"LASCHATTST01.FNBM.CORP";;;"6.2.3";;;;
"SolarWinds Client Components - (2.1.5.6002)";"LASCHATTST01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCHATTST01.FNBM.CORP";"Symantec Corporation";"20180728";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCHATTST01.FNBM.CORP";"VMware, Inc.";"20180215";"10.1.7.5541682";;;;
"VMware vCenter Converter Standalone Agent";"LASCHATTST01.FNBM.CORP";"VMware, Inc.";"20170217";"6.1.1.3533064";;;;
"WhosOn Installable Version 5";"LASCHATTST01.FNBM.CORP";"Parker Software";;"5.2.770";;;;
