"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"IIS URL Rewrite Module 2";"LASCHATWEB02.FNBM.CORP";"Microsoft Corporation";"20171101";"7.2.1980";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASCHATWEB02.FNBM.CORP";;;;;;;
"Microsoft Application Request Routing 3.0";"LASCHATWEB02.FNBM.CORP";"Microsoft Corporation";"20171101";"3.0.1952";;;;
"Microsoft External Cache";"LASCHATWEB02.FNBM.CORP";"Microsoft Corporation";"20171101";"1.1.1949";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCHATWEB02.FNBM.CORP";"Microsoft Corporation";"20171101";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCHATWEB02.FNBM.CORP";"Microsoft Corporation";"20171101";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASCHATWEB02.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Web Deploy 3.5";"LASCHATWEB02.FNBM.CORP";"Microsoft Corporation";"20171101";"3.1237.1764";;;;
"Microsoft Web Platform Installer 5.0";"LASCHATWEB02.FNBM.CORP";"Microsoft Corporation";"20171101";"5.0.50430.0";;;;
"Microsoft WSE 3.0";"LASCHATWEB02.FNBM.CORP";"Microsoft Corporation";"20171101";"3.0.5305.0";;;;
"Netwitness SFTP Agent";"LASCHATWEB02.FNBM.CORP";"RSA Security Inc";"20180324";"4.1.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCHATWEB02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"VMware Tools";"LASCHATWEB02.FNBM.CORP";"VMware, Inc.";"20171101";"10.1.7.5541682";;;;
