"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AccuRev";"LASCODETST01.FNBM.CORP";"AccuRev";"Tue Feb 14 16:36:10 PST 2017";"7.0.0.0";;;;
"AccuRev";"LASCODETST01.FNBM.CORP";"AccuRev";"Mon Jul 01 13:21:52 PDT 2013";"5.7.0.0";;;;
"AccuRev 4.8.0";"LASCODETST01.FNBM.CORP";"AccuRev";"Thu Jun 27 11:15:09 PDT 2013";"4.7.1.0";;;;
"ActivePerl 5.16.3 Build 1603 (64-bit)";"LASCODETST01.FNBM.CORP";"ActiveState";"20130708";"5.16.1603";;;;
"Application Verifier (x64)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"4.1.1078";;;;
"BMC Track-It! 11.3 Agent";"LASCODETST01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASCODETST01.FNBM.CORP";;;;;;;
"Jenkins 1.514";"LASCODETST01.FNBM.CORP";"Jenkins project";"20130513";"0.1.514";;;;
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"4.0.30319";;;;
"Microsoft .NET Framework 4.5.2";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Baseline Security Analyzer 2.2";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130509";"2.2.2170";;;;
"Microsoft Help Viewer 1.0";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";;"1.0.30319";;;;
"Microsoft Silverlight";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft Visual C++  Compilers 2010 Standard - enu - x64";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"10.0.30319";;;;
"Microsoft Visual C++  Compilers 2010 Standard - enu - x86";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"10.0.30319";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130530";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130610";"8.0.59193";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130530";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130529";"8.0.59192";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140130";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130529";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130425";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130425";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130425";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20130425";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.30319";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140206";"10.0.30319";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140206";"10.0.30319";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.24210";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";;"14.0.24210.0";;;;
"Microsoft Windows Performance Toolkit";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"4.8.0";;;;
"Microsoft Windows SDK for Windows 7 (7.1)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"2/4/2014";"7.1.7600.0.30514";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCODETST01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCODETST01.FNBM.CORP";"Symantec Corporation";"20180301";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCODETST01.FNBM.CORP";"VMware, Inc.";"20180215";"10.1.7.5541682";;;;
