"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"IBM WebSphere MQ (fix pack 7.5.0.4 files)";"LASCOLL15.FNBM.CORP";"IBM";"Thu Feb 22 13:49:01 PST 2018";"7.5.0.4";;;;
"IBM WebSphere MQ (Installation1)";"LASCOLL15.FNBM.CORP";"IBM";"20180222";"7.5.0.1";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASCOLL15.FNBM.CORP";;;;;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCOLL15.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCOLL15.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASCOLL15.FNBM.CORP";"Microsoft Corporation";"20180221";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASCOLL15.FNBM.CORP";"Microsoft Corporation";"20180221";"10.0.30319";;;;
"Microsoft Web Deploy 3.5";"LASCOLL15.FNBM.CORP";"Microsoft Corporation";"20180416";"3.1237.1764";;;;
"Microsoft WSE 3.0";"LASCOLL15.FNBM.CORP";"Microsoft Corporation";"20180226";"3.0.5305.0";;;;
"NCache";"LASCOLL15.FNBM.CORP";"Alachisoft";"20180416";"4.6.0.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCOLL15.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCOLL15.FNBM.CORP";"Symantec Corporation";"20180416";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCOLL15.FNBM.CORP";"VMware, Inc.";"20180116";"10.1.7.5541682";;;;
"VMware Tools";"LASCOLL15.FNBM.CORP";"VMware, Inc.";"20180112";"10.1.0.4449150";;;;
