"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASDC03.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASDC03.FNBM.CORP";;;;;;;
"LiveUpdate 3.3 (Symantec Corporation)";"LASDC03.FNBM.CORP";"Symantec Corporation";;"3.3.200.50";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASDC03.FNBM.CORP";"Microsoft Corporation";"20170815";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASDC03.FNBM.CORP";"Microsoft Corporation";"20170815";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASDC03.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASDC03.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASDC03.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"SolarWinds Agent 2.0.70.0";"LASDC03.FNBM.CORP";"SolarWinds Worldwide, LLC.";"20180604";"2.0.70.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASDC03.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASDC03.FNBM.CORP";"Symantec Corporation";"20180121";"14.0.3876.1100";;;;"0"
"Symantec Endpoint Protection Manager";"LASDC03.FNBM.CORP";"Symantec Corporation";"20180111";"14.0.2415.0200";;;;
"VMware Tools";"LASDC03.FNBM.CORP";"VMware, Inc.";"20180108";"10.0.9.3917699";;;;
