"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASDCTEST01WEB.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"IIS URL Rewrite Module 2";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20151105";"7.2.1952";;;;
"Microsoft Application Request Routing 3.0";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20170411";"3.0.1952";;;;
"Microsoft External Cache";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20170411";"1.1.1949";;;;
"Microsoft Silverlight";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150928";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150928";"11.1.3000.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150810";"9.0.30729.6161";;;;
"Microsoft Web Deploy 3.5";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20151105";"3.1237.1764";;;;
"Microsoft Web Platform Installer 5.0";"LASDCTEST01WEB.FNBM.CORP";"Microsoft Corporation";"20150806";"5.0.50430.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASDCTEST01WEB.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASDCTEST01WEB.FNBM.CORP";"Symantec Corporation";"20180323";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASDCTEST01WEB.FNBM.CORP";"VMware, Inc.";"20180215";"10.1.7.5541682";;;;
