"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"IIS URL Rewrite Module 2";"LASDMZCHATTST01.FNBM.CORP";"Microsoft Corporation";"20171030";"7.2.1980";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASDMZCHATTST01.FNBM.CORP";;;;;;;
"Microsoft Application Request Routing 3.0";"LASDMZCHATTST01.FNBM.CORP";"Microsoft Corporation";"20171030";"3.0.1952";;;;
"Microsoft External Cache";"LASDMZCHATTST01.FNBM.CORP";"Microsoft Corporation";"20171030";"1.1.1949";;;;
"Microsoft Silverlight";"LASDMZCHATTST01.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASDMZCHATTST01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASDMZCHATTST01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASDMZCHATTST01.FNBM.CORP";"Microsoft Corporation";"20160216";"9.0.30729.6161";;;;
"Microsoft Web Platform Installer 5.0";"LASDMZCHATTST01.FNBM.CORP";"Microsoft Corporation";"20171030";"5.0.50430.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASDMZCHATTST01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASDMZCHATTST01.FNBM.CORP";"Symantec Corporation";"20180323";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASDMZCHATTST01.FNBM.CORP";"VMware, Inc.";"20180120";"10.1.7.5541682";;;;
