"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASDMZWEB09.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Google Chrome";"LASDMZWEB09.FNBM.CORP";"Google Inc.";"20170119";"67.0.3396.99";;;;
"IIS Advanced Logging 1.0";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170213";"1.0.0625.10";;;;
"IIS URL Rewrite Module 2";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170712";"7.2.1980";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASDMZWEB09.FNBM.CORP";;;;;;;
"Microsoft Application Request Routing 2.5";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170712";"2.5.1130";;;;
"Microsoft Azure PowerShell - January 2017";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170119";"3.4.0";;;;
"Microsoft External Cache";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170712";"1.1.1949";;;;
"Microsoft Silverlight";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170225";"8.0.61001";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170111";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170111";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170111";"9.0.30729.6161";;;;
"Microsoft Web Deploy 3.5";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170213";"3.1237.1764";;;;
"Microsoft Web Farm Framework";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170712";"1.1.1292";;;;
"Microsoft Web Platform Installer 5.0";"LASDMZWEB09.FNBM.CORP";"Microsoft Corporation";"20170119";"5.0.50430.0";;;;
"Security Analytics SFTP Agent";"LASDMZWEB09.FNBM.CORP";"RSA Security Inc";"20170209";"4.1.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASDMZWEB09.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASDMZWEB09.FNBM.CORP";"Symantec Corporation";"20180219";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASDMZWEB09.FNBM.CORP";"VMware, Inc.";"20180120";"10.1.7.5541682";;;;
