"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.0.1601.5";;;;
"Advantage Data Architect v11.10";"LASDSMAPP01.FNBM.CORP";"Sybase, Inc.";"20170405";"11.10.0015";;;;
"BMC Track-It! 11.3 Agent";"LASDSMAPP01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2016";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;
"Cisco WebEx Meetings";"LASDSMAPP01.FNBM.CORP";"Cisco WebEx LLC";;;;;;
"Commvault ContentStore";"LASDSMAPP01.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASDSMAPP01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"4.5.51209";;;;
"Microsoft Help Viewer 2.2";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;
"Microsoft Silverlight";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"11.3.6518.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"12.0.2000.8";;;;
"Microsoft SQL Server 2016";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 (64-bit)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 Policies ";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.0.1601.5";;;;
"Microsoft SQL Server 2016 Setup (English)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;
