"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"13.0.1601.5";;;;
"Advantage Data Architect v11.10";"LASDSMAPPTST01.FNBM.CORP";"Sybase, Inc.";"20170330";"11.10.0015";;;;
"BMC Track-It! 11.3 Agent";"LASDSMAPPTST01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2016";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;
"Cisco WebEx Meetings";"LASDSMAPPTST01.FNBM.CORP";"Cisco WebEx LLC";;;;;;
"Commvault ContentStore";"LASDSMAPPTST01.FNBM.CORP";"Commvault";;"11.80.120.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASDSMAPPTST01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"4.5.51209";;;;
"Microsoft Help Viewer 2.2";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;
"Microsoft Silverlight";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"11.3.6518.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"12.0.2000.8";;;;
"Microsoft SQL Server 2016";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 (64-bit)";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 Policies ";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"13.0.1601.5";;;;
"Microsoft SQL Server 2016 Setup (English)";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"13.0.3560.4";;;;
"Microsoft SQL Server Management Studio - 16.5.3";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;"13.0.16106.4";;;;
"Microsoft System CLR Types for SQL Server 2014";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"12.0.2402.11";;;;
"Microsoft System CLR Types for SQL Server 2016";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"13.0.1601.5";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170324";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170324";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170326";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170327";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23026";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;"14.0.23026.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;"14.0.23107.10";;;;
"Microsoft Visual Studio Tools for Applications 2015";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;"14.0.23829";;;;
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";;"14.0.23107.10";;;;
"Microsoft VSS Writer for SQL Server 2016";"LASDSMAPPTST01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASDSMAPPTST01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASDSMAPPTST01.FNBM.CORP";"Symantec Corporation";"20180120";"14.0.3876.1100";;;;"0"
