"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASECAS01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASECAS01.FNBM.CORP";;;;;;;
"Microsoft Silverlight";"LASECAS01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASECAS01.FNBM.CORP";"Microsoft Corporation";"20150326";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASECAS01.FNBM.CORP";"Microsoft Corporation";"20150326";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASECAS01.FNBM.CORP";"Microsoft Corporation";"20160215";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASECAS01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASECAS01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"VeraSMART";"LASECAS01.FNBM.CORP";"Veramark";"20160422";"250.18.224";;;;
"VeraSMART System Admin Tool";"LASECAS01.FNBM.CORP";"Veramark Technologies, Inc.";"20160422";"250.18.224";;;;
"VMware Tools";"LASECAS01.FNBM.CORP";"VMware, Inc.";"20150326";"9.0.5.21789";;;;
