"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.20 (x64 edition)";"LASETL01.FNBM.CORP";"Igor Pavlov";"20130315";"9.20.00.0";;;;
"ATI Display Driver";"LASETL01.FNBM.CORP";;;"8.24.50.5-090623a-083726C-HP";;;;
"BMC Track-It! 11.3 Agent";"LASETL01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASETL01.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"Gpg4win (2.1.0)";"LASETL01.FNBM.CORP";"The Gpg4win Project";;"2.1.0";;;;
"Headless Server Registry Update";"LASETL01.FNBM.CORP";"Hewlett-Packard Company";"20130307";"1.0.0.0";;;;
"HP Array Configuration Utility";"LASETL01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20130307";"9.30.15.0";;;;
"HP Array Configuration Utility CLI";"LASETL01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20130307";"9.30.15.0";;;;
"HP Insight Diagnostics  Online Edition for Windows";"LASETL01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20130307";"9.4.0";;;;
"HP Insight Management Agents";"LASETL01.FNBM.CORP";"Hewlett-Packard Company";"20130307";"9.30.0.0";;;;
"HP Lights-Out Online Configuration Utility";"LASETL01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20130307";"4.1.0.0";;;;
"HP ProLiant Integrated Management Log Viewer";"LASETL01.FNBM.CORP";"Hewlett-Packard Company";"20130307";"6.4.0.0";;;;
"HP ProLiant PCI-express Power Management Update for Windows";"LASETL01.FNBM.CORP";"Hewlett-Packard Company";"20130307";"1.3.0.0";;;;
"HP ProLiant Remote Monitor Service";"LASETL01.FNBM.CORP";"Hewlett-Packard Company";"20130307";"5.21.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"LASETL01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20130307";"6.32.0.64";;;;
"HP System Management Homepage";"LASETL01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140710";"7.3.3";;;;
"HP Version Control Agent";"LASETL01.FNBM.CORP";"Hewlett Packard Development Company, L.P.";"20140710";"7.3.3.0";;;;
"HTML Help Workshop";"LASETL01.FNBM.CORP";;;;;;;
"HxD Hex Editor version 1.7.7.0";"LASETL01.FNBM.CORP";"Maël Hörz";"20130412";"1.7.7.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASETL01.FNBM.CORP";;;;;;;
"Konesans File Watcher Task 2008";"LASETL01.FNBM.CORP";"Konesans Ltd";"20130404";"2.0.0.14";;;;
"Microsoft .NET Framework 4.5.2";"LASETL01.FNBM.CORP";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Baseline Security Analyzer 2.1";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"2.1.0000";;;;
"Microsoft Office 2003 Web Components";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20170520";"12.0.6213.1000";;;;
"Microsoft Report Viewer Redistributable 2008 SP1";"LASETL01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Silverlight";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 (64-bit)";"LASETL01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2008 R2 Books Online";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"10.50.1600.1";;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 R2 Policies";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"10.50.1600.1";;;;
"Microsoft SQL Server 2008 R2 Setup (English)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 R2 Setup (English)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"10.1.2731.0";;;;
"Microsoft SQL Server 2012 Analysis Management Objects ";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20180120";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Analysis Management Objects ";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20180120";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20180120";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20180120";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20180120";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20180120";"11.0.2100.60";;;;
"Microsoft SQL Server Browser";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"10.51.2500.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 ENU";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"3.5.8080.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"3.5.8080.0";;;;
"Microsoft SQL Server System CLR Types (x64)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"10.51.2500.0";;;;
"Microsoft SQL Server VSS Writer";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"10.51.2500.0";;;;
"Microsoft Sync Framework Runtime v1.0 (x64)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"1.0.1215.0";;;;
"Microsoft Sync Services for ADO.NET v2.0 (x64)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130308";"2.0.1215.0";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20180120";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20180120";"11.1.3000.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130416";"8.0.56336";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130307";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130307";"8.0.59193";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130416";"8.0.56336";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130307";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130307";"8.0.59192";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130702";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130307";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130420";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130307";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130420";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20170128";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASETL01.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASETL01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASETL01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASETL01.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"Microsoft Visual Studio 2008 Shell (integrated mode) - ENU";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20140517";"9.0.30729";;;;
"Microsoft Visual Studio Tools for Applications 2.0 - ENU";"LASETL01.FNBM.CORP";"Microsoft Corporation";"20130420";"9.0.35191";;;;
"PFA Server Registry Update";"LASETL01.FNBM.CORP";"Hewlett-Packard Company";"20130307";"1.0.0.0";;;;
"Pragmatic Workbench 2017.4.7";"LASETL01.FNBM.CORP";"Pragmatic Works";;"17.4.7";;;;
"PSPad editor";"LASETL01.FNBM.CORP";"Jan Fiala";"20130403";"4.5.7.2450";;;;
"SolarWinds Agent 2.0.70.0";"LASETL01.FNBM.CORP";"SolarWinds Worldwide, LLC.";"20180604";"2.0.70.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASETL01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASETL01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"Veritas InfoScale Operations Manager (Host Component)";"LASETL01.FNBM.CORP";"Veritas Technologies LLC";;"7.3.1.400";;;;"0"
"Veritas Storage Foundation 6.0 for Windows ";"LASETL01.FNBM.CORP";"Symantec Corporation";"11.10.2005.11.10 10:33:24 PST";"6.0";;;;
