"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.38";"LASETLTST03.FNBM.CORP";"Igor Pavlov";"20180208";"9.38.00.0";;;;
"Active Directory Authentication Library for SQL Server";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"14.0.800.90";;;;
"Application Insights Tools for Visual Studio 2015";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"7.0.20622.1";;;;
"BMC Track-It! 11.3 Agent";"LASETLTST03.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2016";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180430";"13.2.5026.0";;;;
"Entity Framework 6.1.3 Tools  for Visual Studio 2015";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"14.0.40302.0";;;;
"HP Lights-Out Online Configuration Utility";"LASETLTST03.FNBM.CORP";"Hewlett Packard Enterprise";"20170807";"4.8.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"LASETLTST03.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20170807";"6.46.0.64";;;;
"HP Smart Update Tools for Windows";"LASETLTST03.FNBM.CORP";"Hewlett Packard Enterprise";"20170807";"1.6.5.0";;;;
"HPE ProLiant Agentless Management Service";"LASETLTST03.FNBM.CORP";"Hewlett Packard Enterprise Development LP";;"10.60.0.0";;;;
"HPE System Management Homepage";"LASETLTST03.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170807";"7.6.0";;;;
"HTML Help Workshop";"LASETLTST03.FNBM.CORP";;;;;;;
"IBM Informix Client SDK 4.10.TC4";"LASETLTST03.FNBM.CORP";"IBM";;"4.10.TC4";;;;
"IIS 10.0 Express";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180213";"10.0.1740";;;;
"iLO 3/4 Channel Interface Driver";"LASETLTST03.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"iLO 3/4 Management Controller Driver Package";"LASETLTST03.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASETLTST03.FNBM.CORP";;;;;;;
"Insight Diagnostics";"LASETLTST03.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170807";"10.60.2116";;;;
"Integrated Management Log Viewer";"LASETLTST03.FNBM.CORP";"Hewlett Packard Enterprise";"20170807";"7.8.0.0";;;;
"Konesans File Watcher Task 2016";"LASETLTST03.FNBM.CORP";"Konesans Ltd";"20180409";"5.0.3.22";;;;
"Matrox Graphics Software (remove only)";"LASETLTST03.FNBM.CORP";"Matrox Graphics Inc.";;"4.3.1.5";;;;
"Microsoft .NET Core SDK - 2.1.4 (x64)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";;"2.1.4";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.5.51651";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.5.51209";;;;
"Microsoft .NET Framework 4.6 SDK";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.6.00081";;;;
"Microsoft .NET Framework 4.6 Targeting Pack";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.6.00081";;;;
"Microsoft .NET Framework 4.6 Targeting Pack (ENU)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.6.00127";;;;
"Microsoft .NET Framework 4.6.1 SDK";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.6.01055";;;;
"Microsoft .NET Framework 4.6.1 Targeting Pack";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.6.01055";;;;
"Microsoft .NET Framework 4.6.1 Targeting Pack (ENU)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"4.6.01055";;;;
"Microsoft .NET Version Manager (x64) 1.0.0-beta5";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"1.0.10609.0";;;;
"Microsoft Access database engine 2010 (English)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180423";"14.0.7015.1000";;;;
"Microsoft Access database engine 2016 (English)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180423";"16.0.4519.1000";;;;
"Microsoft Access Runtime 2016";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";;"16.0.4288.1001";;;;
"Microsoft Analysis Services ADOMD.NET";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180430";"14.0.1000.397";;;;
"Microsoft Azure Authoring Tools - v2.9.5.3";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180213";"2.9.8699.20";;;;
"Microsoft Azure Compute Emulator - v2.9.5.3";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"2/13/2018";"2.9.8699.20";;;;
"Microsoft Azure Libraries for .NET – v2.9";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180213";"3.0.0127.060";;;;
"Microsoft Azure Storage Emulator - v5.2";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"2/13/2018";"5.2.17193.1427";;;;
"Microsoft Help Viewer 1.1";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft Help Viewer 2.2";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";;"2.2.25420";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"14.0.800.90";;;;
"Microsoft Office Access database engine 2007 (English)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180423";"12.0.4518.1031";;;;
"Microsoft Office Professional Plus 2016";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";;"16.0.4266.1001";;;;
"Microsoft Silverlight";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170815";"5.1.50907.0";;;;
"Microsoft SQL Server  2017  Analysis Management Objects CTP2.1";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170911";"14.0.600.111";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"11.3.6540.0";;;;
"Microsoft SQL Server 2014 Express LocalDB ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Management Objects  (x64)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 T-SQL Language Service ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"12.0.2000.8";;;;
"Microsoft SQL Server 2016 (64-bit)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 LocalDB ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180430";"13.2.5026.0";;;;
"Microsoft SQL Server 2016 Management Objects ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170911";"13.1.4001.0";;;;
"Microsoft SQL Server 2016 Management Objects  (x64)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170911";"13.1.4001.0";;;;
"Microsoft SQL Server 2016 Report Builder";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180608";"14.0.1016.246";;;;
"Microsoft SQL Server 2016 Setup (English)";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180430";"13.2.5026.0";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20180430";"13.2.5026.0";;;;
"Microsoft SQL Server 2017 Policies RC1";"LASETLTST03.FNBM.CORP";"Microsoft Corporation";"20170908";"14.0.800.90";;;;
