"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASEXCH04.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASEXCH04.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASEXCH04.FNBM.CORP";;;;;;;
"Microsoft Exchange Server 2016 Cumulative Update 8";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";;"15.1.1415.2";;;;
"Microsoft Lync Server 2013, Bootstrapper Prerequisites Installer Package";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";"20170429";"5.0.8308.0";;;;
"Microsoft Server Speech Platform Runtime (x64)";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";"20170429";"11.0.7400.345";;;;
"Microsoft Silverlight";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Speech Platform VXML Runtime (x64)";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";"20170429";"11.0.7400.345";;;;
"Microsoft Unified Communications Managed API 4.0, Runtime";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";;"5.0.8308.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";"20170428";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";"20170428";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";"20170429";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";"20170629";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.50727";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";;"11.0.50727.1";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASEXCH04.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"Netwitness SFTP Agent";"LASEXCH04.FNBM.CORP";"RSA Security Inc";"20171204";"4.1.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASEXCH04.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASEXCH04.FNBM.CORP";"Symantec Corporation";"20180728";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASEXCH04.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
