"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.20 (x64 edition)";"LASINFRA03.FNBM.CORP";"Igor Pavlov";"20150605";"9.20.00.0";;;;
"BMC Track-It! 11.3 Agent";"LASINFRA03.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"GnuWin32: OpenSSL-0.9.8h-1";"LASINFRA03.FNBM.CORP";"GnuWin32";"20180110";"0.9.8h-1";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASINFRA03.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151013";"4.0.30319";;;;
"Microsoft Help Viewer 1.1";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft Report Viewer 2012 Runtime";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151013";"11.0.2100.60";;;;
"Microsoft Report Viewer Redistributable 2008 (KB971119)";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Silverlight";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 Management Objects";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151013";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151013";"10.1.2731.0";;;;
"Microsoft SQL Server 2012 (64-bit)";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2012 Native Client ";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;
"Microsoft SQL Server 2012 Setup (English)";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;
"Microsoft SQL Server 2012 Transact-SQL Compiler Service ";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;
"Microsoft SQL Server System CLR Types";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151013";"10.51.2500.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20160123";"11.3.6020.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20150716";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20160226";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20150605";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20150605";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20150725";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151013";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151013";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151013";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual J# 2.0 Redistributable Package - SE (x64)";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Visual Studio 2010 Shell (Isolated) - ENU";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151024";"10.0.40219";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASINFRA03.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASINFRA03.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"Visual Studio 2010 Prerequisites - English";"LASINFRA03.FNBM.CORP";"Microsoft Corporation";"20151013";"10.0.40219";;;;
"VMware Client Integration Plug-in 6.0.0";"LASINFRA03.FNBM.CORP";"VMware, Inc.";"20160226";"6.0.0.3637";;;;
"VMware Tools";"LASINFRA03.FNBM.CORP";"VMware, Inc.";"20171129";"10.1.7.5541682";;;;
"VMware vSphere Client 6.0";"LASINFRA03.FNBM.CORP";"VMware, Inc.";"20160226";"6.0.0.6649";;;;
