"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.38";"LASITS03.FNBM.CORP";"Igor Pavlov";"20170803";"9.38.00.0";;;;
"Active Directory Authentication Library for SQL Server";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.800.90";;;;
"Apache HTTP Proxy";"LASITS03.FNBM.CORP";;;;;;;
"Apache Tomcat 7.0 Tomcat7 (remove only)";"LASITS03.FNBM.CORP";;;"7.0.75";;;;
"BMC Track-It! 11.3 Agent";"LASITS03.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"ESET Remote Administrator Agent";"LASITS03.FNBM.CORP";"ESET, spol. s r.o.";"20170803";"6.5.522.0";;;;
"ESET Remote Administrator Server";"LASITS03.FNBM.CORP";"ESET, spol. s r.o.";"20170803";"6.5.522.0";;;;
"ESET Rogue Detection Sensor";"LASITS03.FNBM.CORP";"ESET, spol. s r.o.";"20170803";"1.0.1158.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASITS03.FNBM.CORP";;;;;;;
"Java 8 Update 144";"LASITS03.FNBM.CORP";"Oracle Corporation";"20170803";"8.0.1440.1";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"4.5.51209";;;;
"Microsoft Help Viewer 2.2";"LASITS03.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"12.0.2000.8";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.800.90";;;;
"Microsoft Silverlight";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"5.1.50907.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"11.3.6540.0";;;;
"Microsoft SQL Server 2014 (64-bit)";"LASITS03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2014 Management Objects ";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Setup (English)";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"12.0.2000.8";;;;
"Microsoft SQL Server 2017 Policies RC1";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.800.90";;;;
"Microsoft SQL Server 2017 RC1";"LASITS03.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2017 T-SQL Language Service RC1";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.17177.0";;;;
