"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASMEDIA01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASMEDIA01.FNBM.CORP";"Commvault";;"11.80.120.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASMEDIA01.FNBM.CORP";;;;;;;
"Java 8 Update 121 (64-bit)";"LASMEDIA01.FNBM.CORP";"Oracle Corporation";"20180629";"8.0.1210.13";;;;
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"4.0.30319";;;;
"Microsoft Help Viewer 1.1";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft ODBC Driver 11 for SQL Server";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;
"Microsoft Report Viewer 2014 Runtime";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.0.2000.8";;;;
"Microsoft SQL Server 2008 R2 Management Objects";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Native Client ";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"11.2.5643.3";;;;
"Microsoft SQL Server 2014 (64-bit)";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2014 Policies ";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.0.2000.8";;;;
"Microsoft SQL Server 2014 Setup (English)";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;
"Microsoft SQL Server 2014 Transact-SQL Compiler Service ";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;
"Microsoft SQL Server System CLR Types";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"10.51.2500.0";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2014 (x64)";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"Microsoft Visual Studio 2010 Shell (Isolated) - ENU";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"10.0.40219";;;;
"Microsoft VSS Writer for SQL Server 2014";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;
"MongoDB 3.0.2 2008R2Plus SSL (64 bit)";"LASMEDIA01.FNBM.CORP";"MongoDB";"20180629";"3.0.2";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASMEDIA01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"SQL Server Browser for SQL Server 2014";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;
"Symantec Endpoint Protection";"LASMEDIA01.FNBM.CORP";"Symantec Corporation";"20180629";"14.0.3876.1100";;;;"0"
"Visual Studio 2010 Prerequisites - English";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"10.0.40219";;;;
"VMware Tools";"LASMEDIA01.FNBM.CORP";"VMware, Inc.";"20180112";"10.1.0.4449150";;;;
"VMware Tools";"LASMEDIA01.FNBM.CORP";"VMware, Inc.";"20180116";"10.1.7.5541682";;;;
