"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASMEDIATST01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"LASMEDIATST01.FNBM.CORP";"Commvault";;"11.80.70.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASMEDIATST01.FNBM.CORP";;;;;;;
"Java 8 Update 111 (64-bit)";"LASMEDIATST01.FNBM.CORP";"Oracle Corporation";"20170914";"8.0.1110.14";;;;
"Java 8 Update 121 (64-bit)";"LASMEDIATST01.FNBM.CORP";"Oracle Corporation";"20170915";"8.0.1210.13";;;;
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"4.0.30319";;;;
"Microsoft Help Viewer 1.1";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";;"1.1.40219";;;;
"Microsoft Office Professional Plus 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";;"14.0.7015.1000";;;;""
"Microsoft Report Viewer 2012 Runtime";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.0.2100.60";;;;
"Microsoft Silverlight";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170413";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 Management Objects";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.1.2731.0";;;;
"Microsoft SQL Server 2012 (64-bit)";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.1.2818.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170914";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Native Client ";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;
"Microsoft SQL Server 2012 Policies ";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;
"Microsoft SQL Server 2012 Setup (English)";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5569.0";;;;
"Microsoft SQL Server 2012 Transact-SQL Compiler Service ";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;
"Microsoft SQL Server 2012 T-SQL Language Service ";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.0.2100.60";;;;
"Microsoft SQL Server Data Tools – Database Projects – Web installer entry point";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.3.20116.0";;;;
"Microsoft SQL Server System CLR Types";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.51.2500.0";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170914";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170908";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170908";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20160216";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual Studio 2010 Shell (Integrated) - ENU";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.0.40219";;;;
"Microsoft Visual Studio 2010 Shell (Isolated) - ENU";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.0.40219";;;;
"Microsoft Visual Studio Tools for Applications Design-Time 3.0";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.0.40220";;;;
"Microsoft Visual Studio Tools for Applications x64 Runtime 3.0";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.0.40220";;;;
"Microsoft Visual Studio Tools for Applications x86 Runtime 3.0";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.0.40220";;;;
"Microsoft VSS Writer for SQL Server 2012";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;
"Prerequisites for SSDT ";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.0.2100.60";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASMEDIATST01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"SQL Server Browser for SQL Server 2012";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;
"Symantec Endpoint Protection";"LASMEDIATST01.FNBM.CORP";"Symantec Corporation";"20180301";"14.0.3876.1100";;;;"0"
"Visual Studio 2010 Prerequisites - English";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"10.0.40219";;;;
"VMware Tools";"LASMEDIATST01.FNBM.CORP";"VMware, Inc.";"20180215";"10.1.7.5541682";;;;
