"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"ACR38/100/122 PC/SC Driver 1.1.5.0";"LASMORPHO01.FNBM.CORP";"Advanced Card Systems Ltd.";"20180625";"1.1.5";;;;
"FlyCap2 Viewer 2.6 Release 3 (x64)";"LASMORPHO01.FNBM.CORP";"Point Grey Research";"20180625";"2.6.3";;;;
"Google Chrome";"LASMORPHO01.FNBM.CORP";"Google Inc.";"20180625";"67.0.3396.99";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASMORPHO01.FNBM.CORP";;;;;;;
"Microsoft Visual C++ 2005 Redistributable";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";"20180625";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";"20180625";"8.0.61000";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";"20180625";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";"20180625";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";"20180112";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";"20180625";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";"20180625";"10.0.30319";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASMORPHO01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Morpho License Protection";"LASMORPHO01.FNBM.CORP";"Morpho";"20180625";"4.5.3";;;;
"MorphoManager Client";"LASMORPHO01.FNBM.CORP";"Identity One";"20180625";"11.2.9.9";;;;
"MorphoManager Server";"LASMORPHO01.FNBM.CORP";"Identity One";"20180625";"11.2.9.9";;;;
"MorphoSmart USB 64 bits Driver";"LASMORPHO01.FNBM.CORP";"Morpho";"20180625";"3.59.1.0";;;;
"SDI01x Generic DI Reader";"LASMORPHO01.FNBM.CORP";"SCM Microsystems";"20180625";"1.11";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASMORPHO01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"VMware Tools";"LASMORPHO01.FNBM.CORP";"VMware, Inc.";"20180116";"10.1.7.5541682";;;;
"Windows Driver Package - ACS (A38CCID) SmartCardReader  (10/05/2012 1.1.6.6)";"LASMORPHO01.FNBM.CORP";"ACS";;"10/05/2012 1.1.6.6";;;;
"Windows Driver Package - ACS (ACR122U) SmartCardReader  (10/10/2012 1.1.6.4)";"LASMORPHO01.FNBM.CORP";"ACS";;"10/10/2012 1.1.6.4";;;;
"Windows Driver Package - ACS (ACSSCR) SmartCardReader  (09/18/2012 1.1.6.3)";"LASMORPHO01.FNBM.CORP";"ACS";;"09/18/2012 1.1.6.3";;;;
