"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASNCACHE02TST.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASNCACHE02TST.FNBM.CORP";;;;;;;
"Microsoft Silverlight";"LASNCACHE02TST.FNBM.CORP";"Microsoft Corporation";"20170615";"5.1.50907.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASNCACHE02TST.FNBM.CORP";"Microsoft Corporation";"20150812";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASNCACHE02TST.FNBM.CORP";"Microsoft Corporation";"20150812";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASNCACHE02TST.FNBM.CORP";"Microsoft Corporation";"20150812";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.30319";"LASNCACHE02TST.FNBM.CORP";"Microsoft Corporation";"20150910";"10.0.30319";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASNCACHE02TST.FNBM.CORP";"Microsoft Corporation";"20150910";"10.0.30319";;;;
"NCache";"LASNCACHE02TST.FNBM.CORP";"Alachisoft";"20180702";"4.9.0.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASNCACHE02TST.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASNCACHE02TST.FNBM.CORP";"Symantec Corporation";"20180120";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASNCACHE02TST.FNBM.CORP";"VMware, Inc.";"20180120";"10.1.7.5541682";;;;
