"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"ACR38/100/122 PC/SC Driver 1.1.5.0";"LASNETVR04.FNBM.CORP";"Advanced Card Systems Ltd.";"20171128";"1.1.5";;;;
"Avigilon Control Center Client";"LASNETVR04.FNBM.CORP";"Avigilon";;"6.8.2.8";;;;
"Avigilon Control Center Server";"LASNETVR04.FNBM.CORP";"Avigilon";;"6.8.2.8";;;;
"BMC Track-It! 11.3 Agent";"LASNETVR04.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"FlyCap2 Viewer 2.6 Release 3 (x64)";"LASNETVR04.FNBM.CORP";"Point Grey Research";"20171128";"2.6.3";;;;
"HP Lights-Out Online Configuration Utility";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise";"20171122";"5.0.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"LASNETVR04.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20171122";"6.46.0.64";;;;
"HPE ProLiant Agentless Management Service";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise Development LP";;"10.70.0.0";;;;
"HPE System Management Homepage";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20171122";"7.6.1";;;;
"iLO 3/4 Management Controller Driver Package";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASNETVR04.FNBM.CORP";;;;;;;
"Insight Diagnostics";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20171122";"10.60.2116";;;;
"Integrated Management Log Viewer";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise";"20171122";"7.8.0.0";;;;
"Integrated Smart Update Tools for Windows";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise";"20171122";"2.0.0.0";;;;
"Matrox Graphics Software (remove only)";"LASNETVR04.FNBM.CORP";"Matrox Graphics Inc.";;"4.3.3.3";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";"20171128";"8.0.61001";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";"20171128";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";"20171128";"10.0.30319";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Morpho License Protection";"LASNETVR04.FNBM.CORP";"Morpho";"20171128";"4.5.3";;;;
"MorphoManager Client";"LASNETVR04.FNBM.CORP";"Identity One";"20171128";"11.2.1.0";;;;
"MorphoSmart USB 64 bits Driver";"LASNETVR04.FNBM.CORP";"Morpho";"20171128";"3.59.1.0";;;;
"PFA Server Registry Update";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise";"20171122";"1.5.0.0";;;;
"SDI01x Generic DI Reader";"LASNETVR04.FNBM.CORP";"SCM Microsystems";"20171128";"1.11";;;;
"Smart Storage Administrator";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20171122";"3.10.3.0";;;;
"Smart Storage Administrator CLI";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20171122";"3.10.3.0";;;;
"Smart Storage Administrator Diagnostics and SSD Wear Gauge Utility";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20171122";"3.10.3.0";;;;
"SolarWinds Agent 2.0.70.0";"LASNETVR04.FNBM.CORP";"SolarWinds Worldwide, LLC.";"20180604";"2.0.70.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASNETVR04.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASNETVR04.FNBM.CORP";"Symantec Corporation";"20180226";"14.0.3876.1100";;;;"0"
"Windows Driver Package - ACS (A38CCID) SmartCardReader  (10/05/2012 1.1.6.6)";"LASNETVR04.FNBM.CORP";"ACS";;"10/05/2012 1.1.6.6";;;;
"Windows Driver Package - ACS (ACR122U) SmartCardReader  (10/10/2012 1.1.6.4)";"LASNETVR04.FNBM.CORP";"ACS";;"10/10/2012 1.1.6.4";;;;
"Windows Driver Package - ACS (ACSSCR) SmartCardReader  (09/18/2012 1.1.6.3)";"LASNETVR04.FNBM.CORP";"ACS";;"09/18/2012 1.1.6.3";;;;
