"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASNOBHAR01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Erlang OTP 20 (9.0)";"LASNOBHAR01.FNBM.CORP";;;;;;;
"Google Chrome";"LASNOBHAR01.FNBM.CORP";"Google, Inc.";"20160325";"60.0.3112.113";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASNOBHAR01.FNBM.CORP";;;;;;;
"Maestro";"LASNOBHAR01.FNBM.CORP";"Noble Systems Corporation";"20160303";"8.1.2.12";;;;
"Media Playback 6.2.3.3";"LASNOBHAR01.FNBM.CORP";"Noble Systems Corporation";"20180522";"6.2.3.3";;;;
"Microsoft Report Viewer Redistributable 2005";"LASNOBHAR01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Silverlight";"LASNOBHAR01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASNOBHAR01.FNBM.CORP";"Microsoft Corporation";"20150326";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASNOBHAR01.FNBM.CORP";"Microsoft Corporation";"20150326";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASNOBHAR01.FNBM.CORP";"Microsoft Corporation";"20160202";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.30319";"LASNOBHAR01.FNBM.CORP";"Microsoft Corporation";"20160319";"10.0.30319";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASNOBHAR01.FNBM.CORP";"Microsoft Corporation";"20160522";"10.0.30319";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASNOBHAR01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASNOBHAR01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"MongoDb";"LASNOBHAR01.FNBM.CORP";"Noble Systems Corporation";"20160303";"4.1.4";;;;
"Noble Web Reports Dispatcher 4.4.3.5";"LASNOBHAR01.FNBM.CORP";"Noble Systems Corporation";;"4.4.3.5";;;;
"Node.js";"LASNOBHAR01.FNBM.CORP";"Node.js Foundation";"20180522";"6.10.0";;;;
"psqlodbc";"LASNOBHAR01.FNBM.CORP";"PostgreSQL Global Development Group";;"9.3.400";;;;
"Rabbit Message Broker 3.6.11";"LASNOBHAR01.FNBM.CORP";"Noble Systems Corporation";;"6.2.3.3";;;;
"RabbitMQ Server 3.6.11";"LASNOBHAR01.FNBM.CORP";"Pivotal Software, Inc.";;"3.6.11";;;;
"SAP Crystal Reports runtime engine for .NET Framework (32-bit)";"LASNOBHAR01.FNBM.CORP";"SAP";"20171027";"13.0.19.2312";;;;
"SAP Crystal Reports runtime engine for .NET Framework (64-bit)";"LASNOBHAR01.FNBM.CORP";"SAP";"20171027";"13.0.19.2312";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASNOBHAR01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASNOBHAR01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASNOBHAR01.FNBM.CORP";"VMware, Inc.";"20171216";"10.0.9.3917699";;;;
