"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASNOBWEB01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASNOBWEB01.FNBM.CORP";;;;;;;
"Maestro";"LASNOBWEB01.FNBM.CORP";"Noble Systems Corporation";"20160303";"8.1.2.12";;;;
"Microsoft Report Viewer Redistributable 2005";"LASNOBWEB01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft Silverlight";"LASNOBWEB01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASNOBWEB01.FNBM.CORP";"Microsoft Corporation";"20150326";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASNOBWEB01.FNBM.CORP";"Microsoft Corporation";"20150326";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASNOBWEB01.FNBM.CORP";"Microsoft Corporation";"20160202";"9.0.30729.6161";;;;
"NSC Composer X Designer";"LASNOBWEB01.FNBM.CORP";"Noble Systems Corporation";"20171027";"3.1.13.2";;;;
"psqlodbc";"LASNOBWEB01.FNBM.CORP";"PostgreSQL Global Development Group";;"9.3.400";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASNOBWEB01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASNOBWEB01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"UltraVnc";"LASNOBWEB01.FNBM.CORP";"uvnc bvba";"20160303";"1.2.06";;;;
"VMware Tools";"LASNOBWEB01.FNBM.CORP";"VMware, Inc.";"20160426";"9.4.11.2400950";;;;
