"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.800.90";;;;
"ADI Sync";"LASPATCH01.FNBM.CORP";"KnowBe4 Inc.";"20180710";"1.0.12.8";;;;
"BMC Track-It! 11.3 Agent";"LASPATCH01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Browser for SQL Server 2016";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"13.0.1601.5";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASPATCH01.FNBM.CORP";;;;;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"4.5.51209";;;;
"Microsoft Help Viewer 2.2";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft Network Monitor 3.4";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180412";"3.4.2350.0";;;;
"Microsoft Network Monitor: NetworkMonitor Parsers 3.4";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180412";"3.4.2350.0";;;;
"Microsoft ODBC Driver 13 for SQL Server";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.800.90";;;;
"Microsoft SQL Server 2008 Native Client";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"10.0.1600.22";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Native Client ";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"11.3.6540.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"12.0.2000.8";;;;
"Microsoft SQL Server 2016 (64-bit)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 Setup (English)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"13.0.1601.5";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"13.0.1601.5";;;;
"Microsoft SQL Server 2017 Policies RC1";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.800.90";;;;
"Microsoft SQL Server 2017 RC1";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2017 T-SQL Language Service RC1";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.17177.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 ENU";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"3.5.8080.0";;;;
"Microsoft SQL Server Compact 3.5 SP2 x64 ENU";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"3.5.8080.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.3757.2";;;;
"Microsoft SQL Server Management Studio - 17.2";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";;"14.0.17177.0";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"11.0.2100.60";;;;
